accountNumber,ds,income,spending,y
100000003,2025-01,7086.6,5332.76,1753.84
100000003,2025-02,7086.6,5280.83,1805.77
100000003,2025-03,7086.6,5659.15,1427.45
100000003,2025-04,7086.6,5211.92,1874.68
100000003,2025-05,7086.6,5719.62,1366.98
100000003,2025-06,7086.6,5303.29,1783.31
100000003,2025-07,7086.6,5383.78,1702.82
100000003,2025-08,7086.6,5550.21,1536.39
100000003,2025-09,7086.6,5421.17,1665.43
100000003,2025-10,7086.6,5478.87,1607.73
100000003,2025-11,7086.6,5151.52,1935.08
100000003,2025-12,7086.6,5391.27,1695.33
100000003,2026-01,7086.6,5288.21,1798.39
100000003,2026-02,7086.6,5420.53,1666.07
100000003,2026-03,7086.6,5396.96,1689.64
100000003,2026-04,7086.6,5421.76,1664.84
100000003,2026-05,7086.6,5549.14,1537.46
100000003,2026-06,7086.6,5438.8,1647.8
100000003,2026-07,7086.6,5404.96,1681.64
100000004,2024-08,22361.38,15075.28,7286.1
100000004,2024-09,22361.38,16843.53,5517.85
100000004,2024-10,22361.38,15019.65,7341.73
100000004,2024-11,22361.38,16414.57,5946.81
100000004,2024-12,22361.38,16193.22,6168.16
100000004,2025-01,22361.38,15512.97,6848.41
100000004,2025-02,22361.38,16114.01,6247.37
100000004,2025-03,22361.38,15431.19,6930.19
100000004,2025-04,22361.38,16561.15,5800.23
100000004,2025-05,22361.38,14081.86,8279.52
100000004,2025-06,22361.38,16020.45,6340.93
100000004,2025-07,22361.38,16066.42,6294.96
100000004,2025-08,22361.38,15964.31,6397.07
100000004,2025-09,22361.38,15777.25,6584.13
100000004,2025-10,22361.38,16437.6,5923.78
100000004,2025-11,22361.38,15833.14,6528.24
100000004,2025-12,22361.38,16603.27,5758.11
100000004,2026-01,22361.38,16249.31,6112.07
100000004,2026-02,22361.38,15927.84,6433.54
100000004,2026-03,22361.38,15363.23,6998.15
100000004,2026-04,22361.38,15815.36,6546.02
100000004,2026-05,22361.38,15893.56,6467.82
100000004,2026-06,22361.38,16850.01,5511.37
100000004,2026-07,22361.38,15154.08,7207.3
100000005,2024-08,9882.94,5708.16,4174.78
100000005,2024-09,9882.94,5826.87,4056.07
100000005,2024-10,9882.94,6170.94,3712.0
100000005,2024-11,9882.94,6141.35,3741.59
100000005,2024-12,9882.94,6617.67,3265.27
100000005,2025-01,9882.94,6706.71,3176.23
100000005,2025-02,9882.94,6180.67,3702.27
100000005,2025-03,9882.94,6116.05,3766.89
100000005,2025-04,9882.94,6321.06,3561.88
100000005,2025-05,9882.94,5925.6,3957.34
100000005,2025-06,9882.94,6106.62,3776.32
100000005,2025-07,9882.94,5909.3,3973.64
100000005,2025-08,9882.94,6361.58,3521.36
100000005,2025-09,9882.94,6492.27,3390.67
100000005,2025-10,9882.94,6564.97,3317.97
100000005,2025-11,9882.94,6555.47,3327.47
100000005,2025-12,9882.94,5310.5,4572.44
100000005,2026-01,9882.94,5991.32,3891.62
100000005,2026-02,9882.94,6516.01,3366.93
100000005,2026-03,9882.94,6369.71,3513.23
100000005,2026-04,9882.94,5976.89,3906.05
100000005,2026-05,9882.94,6815.42,3067.52
100000005,2026-06,9882.94,6493.82,3389.12
100000005,2026-07,9882.94,5949.88,3933.06
100000006,2024-08,12654.49,8973.19,3681.3
100000006,2024-09,12654.49,9346.34,3308.15
100000006,2024-10,12654.49,8734.11,3920.38
100000006,2024-11,12654.49,9693.41,2961.08
100000006,2024-12,12654.49,9046.45,3608.04
100000006,2025-01,12654.49,8365.27,4289.22
100000006,2025-02,12654.49,8953.92,3700.57
100000006,2025-03,12654.49,8762.49,3892.0
100000006,2025-04,12654.49,8645.03,4009.46
100000006,2025-05,12654.49,8963.06,3691.43
100000006,2025-06,12654.49,8103.4,4551.09
100000006,2025-07,12654.49,9129.93,3524.56
100000006,2025-08,12654.49,9089.19,3565.3
100000006,2025-09,12654.49,9247.83,3406.66
100000006,2025-10,12654.49,9403.08,3251.41
100000006,2025-11,12654.49,8689.14,3965.35
100000006,2025-12,12654.49,9235.29,3419.2
100000006,2026-01,12654.49,9361.37,3293.12
100000006,2026-02,12654.49,8690.26,3964.23
100000006,2026-03,12654.49,9342.42,3312.07
100000006,2026-04,12654.49,9117.28,3537.21
100000006,2026-05,12654.49,8803.22,3851.27
100000006,2026-06,12654.49,9134.51,3519.98
100000006,2026-07,12654.49,8683.95,3970.54
100000007,2024-08,10070.7,7702.03,2368.67
100000007,2024-09,10070.7,7284.63,2786.07
100000007,2024-10,10070.7,7496.05,2574.65
100000007,2024-11,10070.7,7237.94,2832.76
100000007,2024-12,10070.7,7207.92,2862.78
100000007,2025-01,10070.7,7876.68,2194.02
100000007,2025-02,10070.7,7412.81,2657.89
100000007,2025-03,10070.7,7273.92,2796.78
100000007,2025-04,10070.7,7217.37,2853.33
100000007,2025-05,10070.7,7530.52,2540.18
100000007,2025-06,10070.7,7785.74,2284.96
100000007,2025-07,10070.7,7891.65,2179.05
100000007,2025-08,10070.7,7593.0,2477.7
100000007,2025-09,10070.7,7673.53,2397.17
100000007,2025-10,10070.7,7460.58,2610.12
100000007,2025-11,10070.7,7693.11,2377.59
100000007,2025-12,10070.7,7445.33,2625.37
100000007,2026-01,10070.7,7705.66,2365.04
100000007,2026-02,10070.7,7258.03,2812.67
100000007,2026-03,10070.7,7208.27,2862.43
100000007,2026-04,10070.7,7633.96,2436.74
100000007,2026-05,10070.7,7750.87,2319.83
100000007,2026-06,10070.7,7400.59,2670.11
100000007,2026-07,10070.7,7146.62,2924.08
100000008,2024-08,15909.87,7972.25,7937.62
100000008,2024-09,15909.87,9171.62,6738.25
100000008,2024-10,15909.87,8632.22,7277.65
100000008,2024-11,15909.87,8505.82,7404.05
100000008,2024-12,15909.87,8468.66,7441.21
100000008,2025-01,15909.87,8990.3,6919.57
100000008,2025-02,15909.87,7601.62,8308.25
100000008,2025-03,15909.87,7845.65,8064.22
100000008,2025-04,15909.87,8696.77,7213.1
100000008,2025-05,15909.87,8165.39,7744.48
100000008,2025-06,15909.87,7599.94,8309.93
100000008,2025-07,15909.87,8232.75,7677.12
100000008,2025-08,15909.87,8533.45,7376.42
100000008,2025-09,15909.87,8311.08,7598.79
100000008,2025-10,15909.87,8401.43,7508.44
100000008,2025-11,15909.87,8499.88,7409.99
100000008,2025-12,15909.87,8672.51,7237.36
100000008,2026-01,15909.87,8179.71,7730.16
100000008,2026-02,15909.87,8654.06,7255.81
100000008,2026-03,15909.87,8226.27,7683.6
100000008,2026-04,15909.87,8455.06,7454.81
100000008,2026-05,15909.87,8570.37,7339.5
100000008,2026-06,15909.87,8378.32,7531.55
100000008,2026-07,15909.87,8523.92,7385.95
100000009,2024-08,15754.15,9903.67,5850.48
100000009,2024-09,15754.15,9939.55,5814.6
100000009,2024-10,15754.15,9984.21,5769.94
100000009,2024-11,15754.15,9745.71,6008.44
100000009,2024-12,15754.15,9525.8,6228.35
100000009,2025-01,15754.15,10396.22,5357.93
100000009,2025-02,15754.15,10394.58,5359.57
100000009,2025-03,15754.15,9475.53,6278.62
100000009,2025-04,15754.15,10289.67,5464.48
100000009,2025-05,15754.15,10031.61,5722.54
100000009,2025-06,15754.15,10123.06,5631.09
100000009,2025-07,15754.15,10237.29,5516.86
100000009,2025-08,15754.15,9634.11,6120.04
100000009,2025-09,15754.15,10678.51,5075.64
100000009,2025-10,15754.15,10197.55,5556.6
100000009,2025-11,15754.15,9990.35,5763.8
100000009,2025-12,15754.15,10363.05,5391.1
100000009,2026-01,15754.15,10295.48,5458.67
100000009,2026-02,15754.15,9871.68,5882.47
100000009,2026-03,15754.15,9776.95,5977.2
100000009,2026-04,15754.15,9505.82,6248.33
100000009,2026-05,15754.15,9536.71,6217.44
100000009,2026-06,15754.15,10153.19,5600.96
100000009,2026-07,15754.15,10256.1,5498.05
100000010,2024-08,10017.56,7743.3,2274.26
100000010,2024-09,10017.56,8030.95,1986.61
100000010,2024-10,10017.56,7503.29,2514.27
100000010,2024-11,10017.56,8215.44,1802.12
100000010,2024-12,10017.56,7369.61,2647.95
100000010,2025-01,10017.56,8509.54,1508.02
100000010,2025-02,10017.56,7650.59,2366.97
100000010,2025-03,10017.56,7628.97,2388.59
100000010,2025-04,10017.56,7635.2,2382.36
100000010,2025-05,10017.56,7935.58,2081.98
100000010,2025-06,10017.56,8684.9,1332.66
100000010,2025-07,10017.56,7994.32,2023.24
100000010,2025-08,10017.56,7466.08,2551.48
100000010,2025-09,10017.56,7586.4,2431.16
100000010,2025-10,10017.56,7467.78,2549.78
100000010,2025-11,10017.56,8173.35,1844.21
100000010,2025-12,10017.56,8220.34,1797.22
100000010,2026-01,10017.56,6954.21,3063.35
100000010,2026-02,10017.56,7628.33,2389.23
100000010,2026-03,10017.56,7372.04,2645.52
100000010,2026-04,10017.56,7576.84,2440.72
100000010,2026-05,10017.56,6897.94,3119.62
100000010,2026-06,10017.56,8153.27,1864.29
100000010,2026-07,10017.56,8533.91,1483.65
100000011,2024-08,7214.72,4436.04,2778.68
100000011,2024-09,7214.72,4241.8,2972.92
100000011,2024-10,7214.72,4382.46,2832.26
100000011,2024-11,7214.72,4697.25,2517.47
100000011,2024-12,7214.72,4611.6,2603.12
100000011,2025-01,7214.72,4441.64,2773.08
100000011,2025-02,7214.72,4604.29,2610.43
100000011,2025-03,7214.72,4541.3,2673.42
100000011,2025-04,7214.72,4515.76,2698.96
100000011,2025-05,7214.72,4461.48,2753.24
100000011,2025-06,7214.72,4562.41,2652.31
100000011,2025-07,7214.72,4448.39,2766.33
100000011,2025-08,7214.72,4554.67,2660.05
100000011,2025-09,7214.72,4184.25,3030.47
100000011,2025-10,7214.72,4531.65,2683.07
100000011,2025-11,7214.72,4422.17,2792.55
100000011,2025-12,7214.72,4681.15,2533.57
100000011,2026-01,7214.72,4456.02,2758.7
100000011,2026-02,7214.72,4562.36,2652.36
100000011,2026-03,7214.72,4501.34,2713.38
100000011,2026-04,7214.72,4404.78,2809.94
100000011,2026-05,7214.72,4549.77,2664.95
100000011,2026-06,7214.72,4507.29,2707.43
100000011,2026-07,7214.72,4621.46,2593.26
100000012,2024-08,23698.35,13204.14,10494.21
100000012,2024-09,23698.35,13288.15,10410.2
100000012,2024-10,23698.35,13263.89,10434.46
100000012,2024-11,23698.35,13475.52,10222.83
100000012,2024-12,23698.35,14704.89,8993.46
100000012,2025-01,23698.35,13276.72,10421.63
100000012,2025-02,23698.35,12977.26,10721.09
100000012,2025-03,23698.35,11896.1,11802.25
100000012,2025-04,23698.35,12725.48,10972.87
100000012,2025-05,23698.35,11995.97,11702.38
100000012,2025-06,23698.35,12154.76,11543.59
100000012,2025-07,23698.35,11874.1,11824.25
100000012,2025-08,23698.35,12522.85,11175.5
100000012,2025-09,23698.35,13863.28,9835.07
100000012,2025-10,23698.35,12577.47,11120.88
100000012,2025-11,23698.35,13154.93,10543.42
100000012,2025-12,23698.35,12594.47,11103.88
100000012,2026-01,23698.35,12370.97,11327.38
100000012,2026-02,23698.35,14249.14,9449.21
100000012,2026-03,23698.35,13390.63,10307.72
100000012,2026-04,23698.35,12655.19,11043.16
100000012,2026-05,23698.35,12485.77,11212.58
100000012,2026-06,23698.35,14405.21,9293.14
100000012,2026-07,23698.35,13701.34,9997.01
100000013,2024-08,15402.6,7340.5,8062.1
100000013,2024-09,15402.6,7141.11,8261.49
100000013,2024-10,15402.6,7182.63,8219.97
100000013,2024-11,15402.6,7265.46,8137.14
100000013,2024-12,15402.6,6641.85,8760.75
100000013,2025-01,15402.6,6676.35,8726.25
100000013,2025-02,15402.6,7317.83,8084.77
100000013,2025-03,15402.6,6849.24,8553.36
100000013,2025-04,15402.6,6868.41,8534.19
100000013,2025-05,15402.6,6718.97,8683.63
100000013,2025-06,15402.6,6889.67,8512.93
100000013,2025-07,15402.6,7024.07,8378.53
100000013,2025-08,15402.6,7067.83,8334.77
100000013,2025-09,15402.6,6791.38,8611.22
100000013,2025-10,15402.6,6710.32,8692.28
100000013,2025-11,15402.6,7147.34,8255.26
100000013,2025-12,15402.6,6768.37,8634.23
100000013,2026-01,15402.6,7397.91,8004.69
100000013,2026-02,15402.6,7456.67,7945.93
100000013,2026-03,15402.6,7030.16,8372.44
100000013,2026-04,15402.6,6563.43,8839.17
100000013,2026-05,15402.6,6942.41,8460.19
100000013,2026-06,15402.6,7036.83,8365.77
100000013,2026-07,15402.6,6884.42,8518.18
100000014,2024-08,23218.97,9802.98,13415.99
100000014,2024-09,23218.97,10472.24,12746.73
100000014,2024-10,23218.97,11739.21,11479.76
100000014,2024-11,23218.97,11171.22,12047.75
100000014,2024-12,23218.97,11250.13,11968.84
100000014,2025-01,23218.97,9369.27,13849.7
100000014,2025-02,23218.97,10428.6,12790.37
100000014,2025-03,23218.97,11412.38,11806.59
100000014,2025-04,23218.97,11469.05,11749.92
100000014,2025-05,23218.97,10877.38,12341.59
100000014,2025-06,23218.97,10653.24,12565.73
100000014,2025-07,23218.97,11567.19,11651.78
100000014,2025-08,23218.97,10991.83,12227.14
100000014,2025-09,23218.97,11192.93,12026.04
100000014,2025-10,23218.97,10722.67,12496.3
100000014,2025-11,23218.97,12202.37,11016.6
100000014,2025-12,23218.97,11874.71,11344.26
100000014,2026-01,23218.97,11274.53,11944.44
100000014,2026-02,23218.97,11800.37,11418.6
100000014,2026-03,23218.97,11062.31,12156.66
100000014,2026-04,23218.97,11059.14,12159.83
100000014,2026-05,23218.97,10948.26,12270.71
100000014,2026-06,23218.97,10763.52,12455.45
100000014,2026-07,23218.97,10117.38,13101.59
100000015,2024-08,11869.11,8538.65,3330.46
100000015,2024-09,11869.11,8828.57,3040.54
100000015,2024-10,11869.11,7705.34,4163.77
100000015,2024-11,11869.11,7578.33,4290.78
100000015,2024-12,11869.11,8231.58,3637.53
100000015,2025-01,11869.11,8911.38,2957.73
100000015,2025-02,11869.11,9126.31,2742.8
100000015,2025-03,11869.11,8032.74,3836.37
100000015,2025-04,11869.11,8558.71,3310.4
100000015,2025-05,11869.11,8275.44,3593.67
100000015,2025-06,11869.11,8156.34,3712.77
100000015,2025-07,11869.11,7390.61,4478.5
100000015,2025-08,11869.11,7384.71,4484.4
100000015,2025-09,11869.11,8241.87,3627.24
100000015,2025-10,11869.11,8988.17,2880.94
100000015,2025-11,11869.11,8388.42,3480.69
100000015,2025-12,11869.11,7479.02,4390.09
100000015,2026-01,11869.11,7885.25,3983.86
100000015,2026-02,11869.11,8588.63,3280.48
100000015,2026-03,11869.11,8212.36,3656.75
100000015,2026-04,11869.11,9102.7,2766.41
100000015,2026-05,11869.11,8116.45,3752.66
100000015,2026-06,11869.11,7988.27,3880.84
100000015,2026-07,11869.11,8160.63,3708.48
100000016,2024-08,11408.96,6206.39,5202.57
100000016,2024-09,11408.96,6768.9,4640.06
100000016,2024-10,11408.96,6219.35,5189.61
100000016,2024-11,11408.96,6121.39,5287.57
100000016,2024-12,11408.96,6110.29,5298.67
100000016,2025-01,11408.96,5312.88,6096.08
100000016,2025-02,11408.96,6003.52,5405.44
100000016,2025-03,11408.96,6109.4,5299.56
100000016,2025-04,11408.96,6233.82,5175.14
100000016,2025-05,11408.96,6035.83,5373.13
100000016,2025-06,11408.96,6457.09,4951.87
100000016,2025-07,11408.96,6333.0,5075.96
100000016,2025-08,11408.96,6185.13,5223.83
100000016,2025-09,11408.96,6408.55,5000.41
100000016,2025-10,11408.96,6589.08,4819.88
100000016,2025-11,11408.96,6024.48,5384.48
100000016,2025-12,11408.96,6620.07,4788.89
100000016,2026-01,11408.96,6212.27,5196.69
100000016,2026-02,11408.96,5699.67,5709.29
100000016,2026-03,11408.96,5842.42,5566.54
100000016,2026-04,11408.96,5298.28,6110.68
100000016,2026-05,11408.96,5595.68,5813.28
100000016,2026-06,11408.96,6084.32,5324.64
100000016,2026-07,11408.96,6154.51,5254.45
100000017,2024-08,6824.85,4492.4,2332.45
100000017,2024-09,6824.85,4851.52,1973.33
100000017,2024-10,6824.85,4470.55,2354.3
100000017,2024-11,6824.85,4856.48,1968.37
100000017,2024-12,6824.85,4740.31,2084.54
100000017,2025-01,6824.85,4697.91,2126.94
100000017,2025-02,6824.85,4978.0,1846.85
100000017,2025-03,6824.85,4622.27,2202.58
100000017,2025-04,6824.85,4573.42,2251.43
100000017,2025-05,6824.85,4405.02,2419.83
100000017,2025-06,6824.85,4539.16,2285.69
100000017,2025-07,6824.85,4758.07,2066.78
100000017,2025-08,6824.85,4752.42,2072.43
100000017,2025-09,6824.85,4565.54,2259.31
100000017,2025-10,6824.85,4216.35,2608.5
100000017,2025-11,6824.85,4544.88,2279.97
100000017,2025-12,6824.85,4619.06,2205.79
100000017,2026-01,6824.85,4811.63,2013.22
100000017,2026-02,6824.85,4320.31,2504.54
100000017,2026-03,6824.85,4517.31,2307.54
100000017,2026-04,6824.85,4394.04,2430.81
100000017,2026-05,6824.85,4683.78,2141.07
100000017,2026-06,6824.85,4667.32,2157.53
100000017,2026-07,6824.85,4785.19,2039.66
100000018,2024-08,9331.02,3090.36,6240.66
100000018,2024-09,9331.02,3309.44,6021.58
100000018,2024-10,9331.02,3191.81,6139.21
100000018,2024-11,9331.02,3538.91,5792.11
100000018,2024-12,9331.02,3513.07,5817.95
100000018,2025-01,9331.02,3563.34,5767.68
100000018,2025-02,9331.02,3583.27,5747.75
100000018,2025-03,9331.02,3382.88,5948.14
100000018,2025-04,9331.02,3641.19,5689.83
100000018,2025-05,9331.02,3558.45,5772.57
100000018,2025-06,9331.02,3381.32,5949.7
100000018,2025-07,9331.02,3580.49,5750.53
100000018,2025-08,9331.02,3722.66,5608.36
100000018,2025-09,9331.02,3348.83,5982.19
100000018,2025-10,9331.02,3396.55,5934.47
100000018,2025-11,9331.02,3308.12,6022.9
100000018,2025-12,9331.02,3226.23,6104.79
100000018,2026-01,9331.02,3063.92,6267.1
100000018,2026-02,9331.02,3305.68,6025.34
100000018,2026-03,9331.02,3302.54,6028.48
100000018,2026-04,9331.02,3495.82,5835.2
100000018,2026-05,9331.02,3202.05,6128.97
100000018,2026-06,9331.02,3234.86,6096.16
100000018,2026-07,9331.02,3746.27,5584.75
100000019,2024-08,46399.17,21238.58,25160.59
100000019,2024-09,46399.17,20764.47,25634.7
100000019,2024-10,46399.17,20786.39,25612.78
100000019,2024-11,46399.17,20450.95,25948.22
100000019,2024-12,46399.17,20285.43,26113.74
100000019,2025-01,46399.17,21300.06,25099.11
100000019,2025-02,46399.17,20844.09,25555.08
100000019,2025-03,46399.17,21303.97,25095.2
100000019,2025-04,46399.17,20014.06,26385.11
100000019,2025-05,46399.17,20841.45,25557.72
100000019,2025-06,46399.17,19767.3,26631.87
100000019,2025-07,46399.17,21141.04,25258.13
100000019,2025-08,46399.17,20677.0,25722.17
100000019,2025-09,46399.17,21380.91,25018.26
100000019,2025-10,46399.17,20962.62,25436.55
100000019,2025-11,46399.17,20479.83,25919.34
100000019,2025-12,46399.17,20060.83,26338.34
100000019,2026-01,46399.17,20225.54,26173.63
100000019,2026-02,46399.17,20077.94,26321.23
100000019,2026-03,46399.17,21383.33,25015.84
100000019,2026-04,46399.17,20814.45,25584.72
100000019,2026-05,46399.17,20569.79,25829.38
100000019,2026-06,46399.17,19963.89,26435.28
100000019,2026-07,46399.17,20485.93,25913.24
100000020,2024-08,18561.7,6619.56,11942.14
100000020,2024-09,18561.7,6349.15,12212.55
100000020,2024-10,18561.7,6315.66,12246.04
100000020,2024-11,18561.7,5446.21,13115.49
100000020,2024-12,18561.7,5767.47,12794.23
100000020,2025-01,18561.7,5180.92,13380.78
100000020,2025-02,18561.7,6388.7,12173.0
100000020,2025-03,18561.7,6499.41,12062.29
100000020,2025-04,18561.7,5779.16,12782.54
100000020,2025-05,18561.7,6788.11,11773.59
100000020,2025-06,18561.7,5878.98,12682.72
100000020,2025-07,18561.7,6009.29,12552.41
100000020,2025-08,18561.7,6157.83,12403.87
100000020,2025-09,18561.7,6093.65,12468.05
100000020,2025-10,18561.7,6002.83,12558.87
100000020,2025-11,18561.7,6299.22,12262.48
100000020,2025-12,18561.7,5574.31,12987.39
100000020,2026-01,18561.7,5604.98,12956.72
100000020,2026-02,18561.7,6097.91,12463.79
100000020,2026-03,18561.7,6237.3,12324.4
100000020,2026-04,18561.7,6421.04,12140.66
100000020,2026-05,18561.7,6424.89,12136.81
100000020,2026-06,18561.7,5761.5,12800.2
100000020,2026-07,18561.7,6007.28,12554.42
100000021,2024-08,10041.93,6022.37,4019.56
100000021,2024-09,10041.93,5526.92,4515.01
100000021,2024-10,10041.93,5722.37,4319.56
100000021,2024-11,10041.93,5639.41,4402.52
100000021,2024-12,10041.93,5856.97,4184.96
100000021,2025-01,10041.93,5726.06,4315.87
100000021,2025-02,10041.93,5764.53,4277.4
100000021,2025-03,10041.93,5960.64,4081.29
100000021,2025-04,10041.93,5944.75,4097.18
100000021,2025-05,10041.93,5819.92,4222.01
100000021,2025-06,10041.93,5825.65,4216.28
100000021,2025-07,10041.93,5762.7,4279.23
100000021,2025-08,10041.93,5995.19,4046.74
100000021,2025-09,10041.93,5561.63,4480.3
100000021,2025-10,10041.93,6047.94,3993.99
100000021,2025-11,10041.93,6493.29,3548.64
100000021,2025-12,10041.93,5836.03,4205.9
100000021,2026-01,10041.93,6107.3,3934.63
100000021,2026-02,10041.93,5796.53,4245.4
100000021,2026-03,10041.93,5759.49,4282.44
100000021,2026-04,10041.93,5792.41,4249.52
100000021,2026-05,10041.93,5931.56,4110.37
100000021,2026-06,10041.93,5680.27,4361.66
100000021,2026-07,10041.93,6048.68,3993.25
100000022,2024-08,11984.29,6866.62,5117.67
100000022,2024-09,11984.29,6364.63,5619.66
100000022,2024-10,11984.29,6412.43,5571.86
100000022,2024-11,11984.29,6173.74,5810.55
100000022,2024-12,11984.29,5795.51,6188.78
100000022,2025-01,11984.29,6428.7,5555.59
100000022,2025-02,11984.29,5724.51,6259.78
100000022,2025-03,11984.29,6305.35,5678.94
100000022,2025-04,11984.29,6668.85,5315.44
100000022,2025-05,11984.29,6216.73,5767.56
100000022,2025-06,11984.29,6116.03,5868.26
100000022,2025-07,11984.29,6087.43,5896.86
100000022,2025-08,11984.29,6303.99,5680.3
100000022,2025-09,11984.29,6934.43,5049.86
100000022,2025-10,11984.29,5788.08,6196.21
100000022,2025-11,11984.29,6827.42,5156.87
100000022,2025-12,11984.29,6330.99,5653.3
100000022,2026-01,11984.29,5557.74,6426.55
100000022,2026-02,11984.29,6313.2,5671.09
100000022,2026-03,11984.29,6929.09,5055.2
100000022,2026-04,11984.29,6859.25,5125.04
100000022,2026-05,11984.29,5892.6,6091.69
100000022,2026-06,11984.29,5980.6,6003.69
100000022,2026-07,11984.29,6585.41,5398.88
100000023,2024-08,22907.31,9791.34,13115.97
100000023,2024-09,22907.31,9738.2,13169.11
100000023,2024-10,22907.31,9785.34,13121.97
100000023,2024-11,22907.31,9858.12,13049.19
100000023,2024-12,22907.31,9773.46,13133.85
100000023,2025-01,22907.31,10379.07,12528.24
100000023,2025-02,22907.31,9622.31,13285.0
100000023,2025-03,22907.31,9684.07,13223.24
100000023,2025-04,22907.31,9809.92,13097.39
100000023,2025-05,22907.31,9418.73,13488.58
100000023,2025-06,22907.31,9824.77,13082.54
100000023,2025-07,22907.31,9946.75,12960.56
100000023,2025-08,22907.31,9803.07,13104.24
100000023,2025-09,22907.31,9685.95,13221.36
100000023,2025-10,22907.31,9807.76,13099.55
100000023,2025-11,22907.31,9504.83,13402.48
100000023,2025-12,22907.31,9546.81,13360.5
100000023,2026-01,22907.31,9837.03,13070.28
100000023,2026-02,22907.31,9995.82,12911.49
100000023,2026-03,22907.31,9670.84,13236.47
100000023,2026-04,22907.31,9701.82,13205.49
100000023,2026-05,22907.31,9869.67,13037.64
100000023,2026-06,22907.31,9768.81,13138.5
100000023,2026-07,22907.31,9944.34,12962.97
100000024,2024-08,19526.84,7572.52,11954.32
100000024,2024-09,19526.84,8048.97,11477.87
100000024,2024-10,19526.84,7298.05,12228.79
100000024,2024-11,19526.84,7369.42,12157.42
100000024,2024-12,19526.84,7139.57,12387.27
100000024,2025-01,19526.84,7481.67,12045.17
100000024,2025-02,19526.84,7515.21,12011.63
100000024,2025-03,19526.84,7141.26,12385.58
100000024,2025-04,19526.84,6714.04,12812.8
100000024,2025-05,19526.84,8156.46,11370.38
100000024,2025-06,19526.84,8430.38,11096.46
100000024,2025-07,19526.84,7227.17,12299.67
100000024,2025-08,19526.84,6972.98,12553.86
100000024,2025-09,19526.84,6739.21,12787.63
100000024,2025-10,19526.84,7613.68,11913.16
100000024,2025-11,19526.84,7982.52,11544.32
100000024,2025-12,19526.84,7439.23,12087.61
100000024,2026-01,19526.84,7394.68,12132.16
100000024,2026-02,19526.84,7553.32,11973.52
100000024,2026-03,19526.84,7165.44,12361.4
100000024,2026-04,19526.84,6421.72,13105.12
100000024,2026-05,19526.84,8060.19,11466.65
100000024,2026-06,19526.84,7151.55,12375.29
100000024,2026-07,19526.84,6779.34,12747.5
100000025,2024-08,20273.1,9676.68,10596.42
100000025,2024-09,20273.1,9502.26,10770.84
100000025,2024-10,20273.1,9871.11,10401.99
100000025,2024-11,20273.1,9919.77,10353.33
100000025,2024-12,20273.1,9612.61,10660.49
100000025,2025-01,20273.1,9556.61,10716.49
