accountNumber,type,amount,frequency
100000055,credit_card_min_payment,1296.19,monthly
100000055,subscription_debit,246.62,monthly
100000056,credit_card_min_payment,1732.79,monthly
100000056,subscription_debit,374.02,monthly
100000057,credit_card_min_payment,1465.26,monthly
100000057,subscription_debit,543.43,monthly
100000058,subscription_debit,295.32,monthly
100000059,loan_installment,825.5,monthly
100000059,credit_card_min_payment,721.84,monthly
100000059,subscription_debit,490.01,monthly
100000060,credit_card_min_payment,483.47,monthly
100000060,subscription_debit,372.16,monthly
100000061,loan_installment,4312.12,monthly
100000061,credit_card_min_payment,834.55,monthly
100000061,subscription_debit,689.92,monthly
100000062,credit_card_min_payment,490.03,monthly
100000062,subscription_debit,365.34,monthly
100000063,credit_card_min_payment,330.75,monthly
100000063,subscription_debit,260.88,monthly
100000064,credit_card_min_payment,580.41,monthly
100000064,subscription_debit,162.34,monthly
100000065,loan_installment,411.86,monthly
100000065,credit_card_min_payment,373.93,monthly
100000065,subscription_debit,263.17,monthly
100000066,credit_card_min_payment,711.89,monthly
100000066,subscription_debit,159.36,monthly
100000067,credit_card_min_payment,566.31,monthly
100000067,subscription_debit,394.32,monthly
100000068,subscription_debit,225.92,monthly
100000069,subscription_debit,319.95,monthly
100000070,loan_installment,795.43,monthly
100000070,credit_card_min_payment,677.09,monthly
100000070,subscription_debit,288.56,monthly
100000071,loan_installment,1479.75,monthly
100000071,credit_card_min_payment,257.19,monthly
100000071,subscription_debit,430.6,monthly
100000072,loan_installment,1732.05,monthly
100000072,credit_card_min_payment,698.69,monthly
100000072,subscription_debit,265.12,monthly
100000073,credit_card_min_payment,1206.43,monthly
100000073,subscription_debit,197.94,monthly
100000074,loan_installment,3132.6,monthly
100000074,subscription_debit,409.34,monthly
100000075,loan_installment,870.71,monthly
100000075,subscription_debit,348.5,monthly
100000076,loan_installment,1406.84,monthly
100000076,credit_card_min_payment,678.97,monthly
100000076,subscription_debit,190.51,monthly
100000077,loan_installment,3626.34,monthly
100000077,subscription_debit,508.12,monthly
100000078,credit_card_min_payment,367.44,monthly
100000078,subscription_debit,169.94,monthly
100000079,credit_card_min_payment,440.23,monthly
100000079,subscription_debit,247.68,monthly
100000080,credit_card_min_payment,646.24,monthly
100000080,subscription_debit,351.59,monthly
100000081,credit_card_min_payment,286.52,monthly
100000081,subscription_debit,252.49,monthly
100000082,credit_card_min_payment,146.22,monthly
100000082,subscription_debit,329.3,monthly
100000083,subscription_debit,374.27,monthly
100000084,loan_installment,2478.2,monthly
100000084,subscription_debit,401.19,monthly
100000085,subscription_debit,481.21,monthly
100000086,subscription_debit,225.99,monthly
100000087,credit_card_min_payment,394.42,monthly
100000087,subscription_debit,263.86,monthly
100000088,credit_card_min_payment,1579.23,monthly
100000088,subscription_debit,326.72,monthly
100000089,subscription_debit,146.68,monthly
100000090,credit_card_min_payment,720.15,monthly
100000090,subscription_debit,391.78,monthly
100000091,subscription_debit,480.69,monthly
100000092,loan_installment,1092.32,monthly
100000092,credit_card_min_payment,426.0,monthly
100000092,subscription_debit,295.69,monthly
100000093,loan_installment,4239.62,monthly
100000093,credit_card_min_payment,540.06,monthly
100000093,subscription_debit,454.39,monthly
100000094,subscription_debit,370.35,monthly
100000095,credit_card_min_payment,332.54,monthly
100000095,subscription_debit,139.99,monthly
100000096,loan_installment,1716.46,monthly
100000096,credit_card_min_payment,426.29,monthly
100000096,subscription_debit,241.31,monthly
100000097,loan_installment,1776.85,monthly
100000097,subscription_debit,354.92,monthly
100000098,subscription_debit,333.11,monthly
100000099,credit_card_min_payment,944.37,monthly
100000099,subscription_debit,471.34,monthly
100000100,loan_installment,705.74,monthly
100000100,subscription_debit,180.06,monthly
100000101,credit_card_min_payment,489.98,monthly
100000101,subscription_debit,169.63,monthly
100000102,loan_installment,520.51,monthly
100000102,subscription_debit,213.85,monthly
100000103,loan_installment,2159.17,monthly
100000103,credit_card_min_payment,850.51,monthly
100000103,subscription_debit,220.79,monthly
100000104,credit_card_min_payment,2441.96,monthly
100000104,subscription_debit,282.02,monthly
100000105,credit_card_min_payment,261.58,monthly
100000105,subscription_debit,218.3,monthly
100000106,subscription_debit,175.0,monthly
100000107,credit_card_min_payment,148.93,monthly
100000107,subscription_debit,166.41,monthly
100000108,loan_installment,2714.46,monthly
100000108,subscription_debit,341.21,monthly
100000109,credit_card_min_payment,755.23,monthly
100000109,subscription_debit,311.67,monthly
100000110,loan_installment,1501.17,monthly
100000110,subscription_debit,269.27,monthly
100000111,loan_installment,485.44,monthly
100000111,subscription_debit,261.8,monthly
100000112,credit_card_min_payment,941.29,monthly
100000112,subscription_debit,391.56,monthly
100000113,credit_card_min_payment,1863.22,monthly
100000113,subscription_debit,490.74,monthly
100000114,credit_card_min_payment,2137.74,monthly
100000114,subscription_debit,553.07,monthly
100000115,loan_installment,1139.3,monthly
100000115,subscription_debit,200.43,monthly
100000116,subscription_debit,307.24,monthly
100000117,loan_installment,946.43,monthly
100000117,credit_card_min_payment,315.93,monthly
100000117,subscription_debit,211.72,monthly
100000118,loan_installment,5636.22,monthly
100000118,subscription_debit,493.73,monthly
100000119,credit_card_min_payment,238.68,monthly
100000119,subscription_debit,178.65,monthly
100000120,credit_card_min_payment,673.08,monthly
100000120,subscription_debit,348.91,monthly
100000121,credit_card_min_payment,154.08,monthly
100000121,subscription_debit,179.63,monthly
100000122,credit_card_min_payment,609.96,monthly
100000122,subscription_debit,469.14,monthly
100000123,credit_card_min_payment,153.62,monthly
100000123,subscription_debit,152.28,monthly
100000124,subscription_debit,439.42,monthly
100000125,credit_card_min_payment,795.6,monthly
100000125,subscription_debit,508.77,monthly
100000126,credit_card_min_payment,686.12,monthly
100000126,subscription_debit,206.01,monthly
100000127,loan_installment,624.26,monthly
100000127,subscription_debit,204.81,monthly
100000128,credit_card_min_payment,622.2,monthly
100000128,subscription_debit,608.33,monthly
100000129,loan_installment,1389.02,monthly
100000129,credit_card_min_payment,621.82,monthly
100000129,subscription_debit,399.98,monthly
100000130,credit_card_min_payment,136.74,monthly
100000130,subscription_debit,323.4,monthly
100000131,subscription_debit,392.72,monthly
100000132,credit_card_min_payment,533.71,monthly
100000132,subscription_debit,329.82,monthly
100000133,loan_installment,699.95,monthly
100000133,subscription_debit,282.56,monthly
100000134,subscription_debit,348.45,monthly
100000135,subscription_debit,600.79,monthly
100000136,loan_installment,1552.16,monthly
100000136,credit_card_min_payment,1212.79,monthly
100000136,subscription_debit,297.13,monthly
100000137,loan_installment,476.41,monthly
100000137,credit_card_min_payment,77.55,monthly
100000137,subscription_debit,114.48,monthly
100000138,credit_card_min_payment,341.37,monthly
100000138,subscription_debit,307.86,monthly
100000139,credit_card_min_payment,153.11,monthly
100000139,subscription_debit,526.72,monthly
100000140,loan_installment,2449.86,monthly
100000140,subscription_debit,327.12,monthly
100000141,subscription_debit,234.26,monthly
100000142,credit_card_min_payment,1698.51,monthly
100000142,subscription_debit,574.42,monthly
100000143,loan_installment,2246.6,monthly
100000143,subscription_debit,191.74,monthly
100000144,credit_card_min_payment,141.78,monthly
100000144,subscription_debit,326.77,monthly
100000145,credit_card_min_payment,632.73,monthly
100000145,subscription_debit,428.39,monthly
100000146,subscription_debit,357.03,monthly
100000147,credit_card_min_payment,404.07,monthly
100000147,subscription_debit,402.98,monthly
100000148,subscription_debit,120.87,monthly
100000149,credit_card_min_payment,562.9,monthly
100000149,subscription_debit,221.97,monthly
100000150,credit_card_min_payment,423.45,monthly
100000150,subscription_debit,255.19,monthly
100000151,subscription_debit,269.77,monthly
100000152,subscription_debit,296.31,monthly
100000153,credit_card_min_payment,118.0,monthly
100000153,subscription_debit,290.78,monthly
100000154,loan_installment,784.67,monthly
100000154,subscription_debit,114.21,monthly
100000155,credit_card_min_payment,291.41,monthly
100000155,subscription_debit,192.47,monthly
100000156,credit_card_min_payment,1679.87,monthly
100000156,subscription_debit,524.54,monthly
100000157,loan_installment,2724.51,monthly
100000157,credit_card_min_payment,589.18,monthly
100000157,subscription_debit,647.45,monthly
100000158,credit_card_min_payment,564.82,monthly
100000158,subscription_debit,264.03,monthly
100000159,subscription_debit,205.16,monthly
100000160,subscription_debit,180.28,monthly
100000161,credit_card_min_payment,921.51,monthly
100000161,subscription_debit,330.59,monthly
100000162,credit_card_min_payment,373.85,monthly
100000162,subscription_debit,515.17,monthly
100000163,loan_installment,1833.66,monthly
100000163,credit_card_min_payment,256.01,monthly
100000163,subscription_debit,184.15,monthly
100000164,subscription_debit,215.81,monthly
100000165,credit_card_min_payment,519.46,monthly
100000165,subscription_debit,350.45,monthly
100000166,credit_card_min_payment,491.38,monthly
100000166,subscription_debit,271.36,monthly
100000167,loan_installment,5831.59,monthly
100000167,subscription_debit,575.36,monthly
100000168,loan_installment,2827.71,monthly
100000168,subscription_debit,348.74,monthly
100000169,loan_installment,516.85,monthly
100000169,credit_card_min_payment,386.95,monthly
100000169,subscription_debit,337.79,monthly
100000170,loan_installment,796.74,monthly
100000170,credit_card_min_payment,292.13,monthly
100000170,subscription_debit,254.45,monthly
100000171,loan_installment,1426.31,monthly
100000171,credit_card_min_payment,2291.25,monthly
100000171,subscription_debit,370.6,monthly
100000172,subscription_debit,422.31,monthly
100000173,credit_card_min_payment,161.39,monthly
100000173,subscription_debit,202.53,monthly
100000174,loan_installment,1414.18,monthly
100000174,subscription_debit,447.37,monthly
100000175,credit_card_min_payment,618.29,monthly
100000175,subscription_debit,255.7,monthly
100000176,subscription_debit,471.3,monthly
100000177,loan_installment,1450.95,monthly
100000177,credit_card_min_payment,1179.43,monthly
100000177,subscription_debit,252.27,monthly
100000178,credit_card_min_payment,315.92,monthly
100000178,subscription_debit,369.4,monthly
100000179,loan_installment,497.42,monthly
100000179,subscription_debit,288.86,monthly
100000180,credit_card_min_payment,483.67,monthly
100000180,subscription_debit,194.85,monthly
100000181,credit_card_min_payment,2211.77,monthly
100000181,subscription_debit,264.78,monthly
100000182,subscription_debit,279.71,monthly
100000183,loan_installment,835.32,monthly
100000183,credit_card_min_payment,276.32,monthly
100000183,subscription_debit,142.53,monthly
100000184,subscription_debit,232.07,monthly
100000185,loan_installment,1293.08,monthly
100000185,credit_card_min_payment,1117.46,monthly
100000185,subscription_debit,363.98,monthly
100000186,loan_installment,1599.28,monthly
100000186,credit_card_min_payment,349.91,monthly
100000186,subscription_debit,405.5,monthly
100000187,loan_installment,1105.42,monthly
100000187,credit_card_min_payment,404.75,monthly
100000187,subscription_debit,377.41,monthly
100000188,credit_card_min_payment,214.87,monthly
100000188,subscription_debit,387.92,monthly
100000189,credit_card_min_payment,706.11,monthly
100000189,subscription_debit,391.85,monthly
100000190,subscription_debit,312.75,monthly
100000191,subscription_debit,477.2,monthly
100000192,subscription_debit,255.91,monthly
100000193,loan_installment,1085.14,monthly
100000193,credit_card_min_payment,459.2,monthly
100000193,subscription_debit,180.48,monthly
100000194,loan_installment,1882.42,monthly
100000194,credit_card_min_payment,485.07,monthly
100000194,subscription_debit,354.69,monthly
100000195,subscription_debit,209.53,monthly
100000196,loan_installment,1925.92,monthly
100000196,credit_card_min_payment,174.43,monthly
100000196,subscription_debit,306.16,monthly
100000197,loan_installment,513.57,monthly
100000197,credit_card_min_payment,743.82,monthly
100000197,subscription_debit,196.6,monthly
100000198,loan_installment,2983.53,monthly
100000198,credit_card_min_payment,1030.09,monthly
100000198,subscription_debit,289.06,monthly
100000199,subscription_debit,249.98,monthly
100000200,credit_card_min_payment,1842.75,monthly
100000200,subscription_debit,581.0,monthly
100000201,credit_card_min_payment,648.64,monthly
100000201,subscription_debit,443.31,monthly
100000202,loan_installment,1039.3,monthly
100000202,credit_card_min_payment,301.03,monthly
100000202,subscription_debit,396.23,monthly
100000203,loan_installment,1211.21,monthly
100000203,credit_card_min_payment,2149.62,monthly
100000203,subscription_debit,508.95,monthly
100000204,loan_installment,1370.37,monthly
100000204,subscription_debit,232.06,monthly
100000205,subscription_debit,237.64,monthly
100000206,loan_installment,354.12,monthly
100000206,subscription_debit,162.47,monthly
100000207,subscription_debit,149.41,monthly
100000208,credit_card_min_payment,225.94,monthly
100000208,subscription_debit,171.36,monthly
100000209,loan_installment,1044.52,monthly
100000209,subscription_debit,274.91,monthly
100000210,credit_card_min_payment,1802.3,monthly
100000210,subscription_debit,237.78,monthly
100000211,loan_installment,2290.01,monthly
100000211,credit_card_min_payment,1107.2,monthly
100000211,subscription_debit,606.29,monthly
100000212,credit_card_min_payment,352.75,monthly
100000212,subscription_debit,433.19,monthly
100000213,loan_installment,926.92,monthly
100000213,credit_card_min_payment,120.68,monthly
100000213,subscription_debit,224.39,monthly
100000214,loan_installment,1148.34,monthly
100000214,subscription_debit,257.34,monthly
100000215,subscription_debit,438.34,monthly
100000216,credit_card_min_payment,1247.44,monthly
100000216,subscription_debit,507.61,monthly
100000217,loan_installment,2077.61,monthly
100000217,credit_card_min_payment,942.6,monthly
100000217,subscription_debit,185.63,monthly
100000218,subscription_debit,163.46,monthly
100000219,credit_card_min_payment,682.42,monthly
100000219,subscription_debit,189.97,monthly
100000220,loan_installment,270.02,monthly
100000220,subscription_debit,414.23,monthly
100000221,credit_card_min_payment,694.3,monthly
100000221,subscription_debit,589.26,monthly
100000222,subscription_debit,249.4,monthly
100000223,credit_card_min_payment,450.13,monthly
100000223,subscription_debit,192.58,monthly
100000224,credit_card_min_payment,288.89,monthly
100000224,subscription_debit,292.41,monthly
100000225,subscription_debit,478.49,monthly
100000226,credit_card_min_payment,932.26,monthly
100000226,subscription_debit,443.89,monthly
100000227,credit_card_min_payment,191.6,monthly
100000227,subscription_debit,335.27,monthly
100000228,subscription_debit,284.83,monthly
100000229,credit_card_min_payment,247.39,monthly
100000229,subscription_debit,246.64,monthly
100000230,credit_card_min_payment,217.45,monthly
100000230,subscription_debit,425.31,monthly
100000231,loan_installment,856.16,monthly
100000231,credit_card_min_payment,191.41,monthly
100000231,subscription_debit,372.07,monthly
100000232,subscription_debit,523.27,monthly
100000233,loan_installment,621.18,monthly
100000233,credit_card_min_payment,445.39,monthly
100000233,subscription_debit,325.41,monthly
100000234,loan_installment,611.15,monthly
100000234,credit_card_min_payment,324.11,monthly
100000234,subscription_debit,281.42,monthly
100000235,credit_card_min_payment,542.48,monthly
100000235,subscription_debit,242.62,monthly
100000236,credit_card_min_payment,1015.45,monthly
100000236,subscription_debit,279.42,monthly
100000237,subscription_debit,428.85,monthly
100000238,loan_installment,1069.97,monthly
100000238,credit_card_min_payment,642.52,monthly
100000238,subscription_debit,234.92,monthly
100000239,loan_installment,675.51,monthly
100000239,subscription_debit,195.29,monthly
100000240,loan_installment,1859.96,monthly
100000240,subscription_debit,550.09,monthly
100000241,credit_card_min_payment,195.2,monthly
100000241,subscription_debit,399.5,monthly
100000242,subscription_debit,261.33,monthly
100000243,subscription_debit,136.7,monthly
100000244,loan_installment,1195.17,monthly
100000244,subscription_debit,360.39,monthly
100000245,subscription_debit,495.55,monthly
100000246,loan_installment,446.5,monthly
100000246,credit_card_min_payment,294.26,monthly
100000246,subscription_debit,185.24,monthly
100000247,credit_card_min_payment,1186.64,monthly
100000247,subscription_debit,290.18,monthly
100000248,credit_card_min_payment,519.05,monthly
100000248,subscription_debit,224.7,monthly
100000249,loan_installment,584.02,monthly
100000249,subscription_debit,130.35,monthly
100000250,loan_installment,2335.93,monthly
100000250,credit_card_min_payment,778.3,monthly
100000250,subscription_debit,545.41,monthly
100000251,subscription_debit,213.97,monthly
100000252,loan_installment,2057.77,monthly
100000252,credit_card_min_payment,1309.54,monthly
100000252,subscription_debit,362.39,monthly
100000253,loan_installment,996.59,monthly
100000253,credit_card_min_payment,679.02,monthly
100000253,subscription_debit,272.07,monthly
100000254,subscription_debit,398.34,monthly
100000255,loan_installment,2919.19,monthly
100000255,credit_card_min_payment,608.04,monthly
100000255,subscription_debit,377.46,monthly
100000256,loan_installment,3026.73,monthly
100000256,credit_card_min_payment,986.67,monthly
100000256,subscription_debit,395.7,monthly
100000257,loan_installment,2565.98,monthly
100000257,subscription_debit,279.66,monthly
100000258,loan_installment,2232.89,monthly
100000258,credit_card_min_payment,2163.62,monthly
100000258,subscription_debit,552.63,monthly
100000259,subscription_debit,346.81,monthly
100000260,loan_installment,889.2,monthly
100000260,subscription_debit,156.8,monthly
100000261,loan_installment,254.25,monthly
100000261,subscription_debit,171.45,monthly
100000262,credit_card_min_payment,491.56,monthly
100000262,subscription_debit,429.02,monthly
100000263,credit_card_min_payment,212.29,monthly
100000263,subscription_debit,200.74,monthly
100000264,loan_installment,462.32,monthly
100000264,subscription_debit,426.82,monthly
100000265,credit_card_min_payment,167.9,monthly
100000265,subscription_debit,276.93,monthly
100000266,credit_card_min_payment,854.91,monthly
100000266,subscription_debit,334.59,monthly
100000267,subscription_debit,431.38,monthly
100000268,loan_installment,2466.21,monthly
100000268,credit_card_min_payment,762.53,monthly
100000268,subscription_debit,543.22,monthly
100000269,loan_installment,2303.1,monthly
100000269,subscription_debit,290.1,monthly
100000270,subscription_debit,187.86,monthly
100000271,credit_card_min_payment,1446.51,monthly
100000271,subscription_debit,483.68,monthly
100000272,loan_installment,2416.61,monthly
100000272,subscription_debit,369.41,monthly
100000273,loan_installment,977.72,monthly
100000273,credit_card_min_payment,422.31,monthly
100000273,subscription_debit,347.76,monthly
100000274,loan_installment,1396.11,monthly
100000274,credit_card_min_payment,128.73,monthly
100000274,subscription_debit,345.05,monthly
100000275,loan_installment,3212.66,monthly
100000275,subscription_debit,467.82,monthly
100000276,credit_card_min_payment,930.16,monthly
100000276,subscription_debit,218.84,monthly
100000277,subscription_debit,560.27,monthly
100000278,subscription_debit,255.97,monthly
100000279,loan_installment,2648.25,monthly
100000279,credit_card_min_payment,674.53,monthly
100000279,subscription_debit,481.68,monthly
100000280,loan_installment,5150.56,monthly
100000280,subscription_debit,624.03,monthly
100000281,loan_installment,233.74,monthly
100000281,subscription_debit,142.85,monthly
100000282,credit_card_min_payment,535.07,monthly
100000282,subscription_debit,234.0,monthly
100000283,subscription_debit,336.29,monthly
100000284,subscription_debit,341.95,monthly
100000285,credit_card_min_payment,524.32,monthly
100000285,subscription_debit,536.55,monthly
100000286,loan_installment,1784.71,monthly
100000286,credit_card_min_payment,1086.22,monthly
100000286,subscription_debit,576.97,monthly
100000287,subscription_debit,305.01,monthly
100000288,subscription_debit,276.39,monthly
100000289,credit_card_min_payment,513.54,monthly
100000289,subscription_debit,346.79,monthly
100000290,loan_installment,3363.83,monthly
100000290,credit_card_min_payment,1763.21,monthly
100000290,subscription_debit,166.36,monthly
100000291,subscription_debit,341.11,monthly
100000292,subscription_debit,228.65,monthly
100000293,subscription_debit,191.63,monthly
100000294,loan_installment,1716.49,monthly
100000294,credit_card_min_payment,268.72,monthly
100000294,subscription_debit,199.52,monthly
100000295,subscription_debit,338.36,monthly
100000296,credit_card_min_payment,619.0,monthly
100000296,subscription_debit,318.63,monthly
100000297,credit_card_min_payment,433.72,monthly
100000297,subscription_debit,203.84,monthly
100000298,subscription_debit,327.32,monthly
100000299,loan_installment,2062.89,monthly
100000299,subscription_debit,214.71,monthly
100000300,credit_card_min_payment,995.06,monthly
100000300,subscription_debit,285.33,monthly
100000301,loan_installment,320.14,monthly
100000301,subscription_debit,161.4,monthly
100000302,loan_installment,596.86,monthly
100000302,subscription_debit,332.37,monthly
100000303,loan_installment,1898.88,monthly
100000303,subscription_debit,207.14,monthly
100000304,credit_card_min_payment,68.04,monthly
100000304,subscription_debit,318.17,monthly
100000305,credit_card_min_payment,498.72,monthly
100000305,subscription_debit,248.83,monthly
100000306,subscription_debit,185.75,monthly
100000307,loan_installment,323.96,monthly
100000307,credit_card_min_payment,196.27,monthly
100000307,subscription_debit,367.27,monthly
100000308,loan_installment,634.6,monthly
100000308,subscription_debit,464.08,monthly
100000309,credit_card_min_payment,308.2,monthly
100000309,subscription_debit,237.68,monthly
100000310,credit_card_min_payment,1540.26,monthly
100000310,subscription_debit,152.21,monthly
100000311,loan_installment,1357.07,monthly
100000311,credit_card_min_payment,367.53,monthly
100000311,subscription_debit,269.76,monthly
100000312,credit_card_min_payment,684.72,monthly
100000312,subscription_debit,187.01,monthly
100000313,loan_installment,1210.74,monthly
100000313,subscription_debit,189.84,monthly
100000314,credit_card_min_payment,1759.14,monthly
100000314,subscription_debit,607.59,monthly
100000315,credit_card_min_payment,414.76,monthly
100000315,subscription_debit,462.44,monthly
100000316,credit_card_min_payment,798.67,monthly
100000316,subscription_debit,384.21,monthly
100000317,credit_card_min_payment,1054.2,monthly
100000317,subscription_debit,308.15,monthly
100000318,loan_installment,4074.63,monthly
100000318,subscription_debit,395.11,monthly
100000319,subscription_debit,214.73,monthly
100000320,loan_installment,1107.04,monthly
100000320,subscription_debit,254.6,monthly
100000321,credit_card_min_payment,616.9,monthly
100000321,subscription_debit,453.04,monthly
100000322,subscription_debit,230.02,monthly
100000323,subscription_debit,382.57,monthly
100000324,credit_card_min_payment,860.83,monthly
100000324,subscription_debit,363.2,monthly
100000325,credit_card_min_payment,434.61,monthly
100000325,subscription_debit,467.84,monthly
100000326,loan_installment,2484.63,monthly
100000326,subscription_debit,255.67,monthly
100000327,loan_installment,2926.92,monthly
100000327,credit_card_min_payment,1141.37,monthly
100000327,subscription_debit,192.16,monthly
100000328,loan_installment,902.63,monthly
100000328,credit_card_min_payment,421.74,monthly
100000328,subscription_debit,180.47,monthly
100000329,credit_card_min_payment,196.05,monthly
100000329,subscription_debit,304.33,monthly
100000330,credit_card_min_payment,633.1,monthly
100000330,subscription_debit,175.14,monthly
100000331,credit_card_min_payment,2575.53,monthly
100000331,subscription_debit,460.28,monthly
100000332,credit_card_min_payment,145.33,monthly
100000332,subscription_debit,168.98,monthly
100000333,loan_installment,1784.94,monthly
100000333,credit_card_min_payment,700.44,monthly
100000333,subscription_debit,319.1,monthly
100000334,subscription_debit,209.8,monthly
100000335,loan_installment,1896.65,monthly
100000335,subscription_debit,415.58,monthly
100000336,loan_installment,543.01,monthly
100000336,subscription_debit,126.63,monthly
100000337,credit_card_min_payment,821.91,monthly
100000337,subscription_debit,545.13,monthly
100000338,credit_card_min_payment,2650.8,monthly
100000338,subscription_debit,543.62,monthly
100000339,loan_installment,1783.2,monthly
100000339,credit_card_min_payment,880.52,monthly
100000339,subscription_debit,264.83,monthly
100000340,credit_card_min_payment,239.58,monthly
100000340,subscription_debit,223.99,monthly
100000341,credit_card_min_payment,1127.2,monthly
100000341,subscription_debit,371.65,monthly
100000342,loan_installment,4481.25,monthly
100000342,subscription_debit,412.05,monthly
100000343,loan_installment,5716.25,monthly
100000343,credit_card_min_payment,2528.98,monthly
100000343,subscription_debit,276.65,monthly
100000344,loan_installment,697.24,monthly
100000344,subscription_debit,246.77,monthly
100000345,credit_card_min_payment,272.59,monthly
100000345,subscription_debit,476.81,monthly
100000346,loan_installment,608.28,monthly
100000346,subscription_debit,223.42,monthly
100000347,loan_installment,1330.94,monthly
100000347,credit_card_min_payment,170.84,monthly
100000347,subscription_debit,309.97,monthly
100000348,loan_installment,766.77,monthly
100000348,subscription_debit,252.8,monthly
100000349,subscription_debit,146.4,monthly
100000350,subscription_debit,493.78,monthly
100000351,loan_installment,1027.6,monthly
100000351,credit_card_min_payment,157.45,monthly
100000351,subscription_debit,200.97,monthly
100000352,loan_installment,1892.31,monthly
100000352,subscription_debit,473.54,monthly
100000353,loan_installment,1061.83,monthly
100000353,credit_card_min_payment,766.34,monthly
100000353,subscription_debit,275.75,monthly
100000354,loan_installment,1691.35,monthly
100000354,credit_card_min_payment,630.12,monthly
100000354,subscription_debit,189.61,monthly
100000355,subscription_debit,302.96,monthly
100000356,loan_installment,514.83,monthly
100000356,credit_card_min_payment,689.89,monthly
100000356,subscription_debit,260.18,monthly
100000357,loan_installment,467.09,monthly
100000357,subscription_debit,135.77,monthly
100000358,subscription_debit,337.12,monthly
100000359,loan_installment,1874.29,monthly
