person_id,accountNumber,age,years_of_experience,income_bracket,housing_status,base_salary_sar,fixed_allowances_sar,variable_allowances_avg_sar,has_mortgage,rent_sar,credit_card_balance_sar,loan_term_months,gross_salary_sar,employment_type,mortgage_installment_sar,other_loan_installments_sar,credit_card_min_payment_sar,requested_loan_amount_sar,loan_int_rate,new_loan_installment_sar,salary_linked_obligations_sar,total_obligations_sar,salary_dbr,total_obligation_ratio,salary_cap,total_cap,loan_percent_income,eligible_sama,has_active_request
30,100000030,53,30,3,rent,34316.08,6863.22,4425.64,0,10818.44,14258.46,60,45604.94,employee,0.0,0.0,712.92,289467.41,10.0,6150.33,6863.25,6863.25,0.1505,0.1505,0.3333,0.45,0.5289,1,1
31,100000031,68,0,1,rent,4864.94,972.99,646.01,0,1243.66,0.0,60,6483.94,retired,0.0,243.18,0.0,37583.4,7.82,758.82,1002.0,1002.0,0.1545,0.1545,0.25,0.45,0.483,1,1
32,100000032,68,0,1,rent,5462.19,1092.44,730.71,0,1711.37,0.0,60,7285.34,retired,0.0,922.29,0.0,22160.76,12.79,501.85,1424.14,1424.14,0.1955,0.1955,0.25,0.45,0.2535,1,1
33,100000033,23,0,1,rent,10354.83,2070.97,1374.84,0,2818.93,0.0,60,13800.63,employee,0.0,0.0,0.0,233849.33,6.58,4584.3,4584.3,4584.3,0.3322,0.3322,0.3333,0.45,1.4121,1,1
34,100000034,58,37,3,mortgage,27966.9,5593.38,3446.98,1,0.0,18977.33,60,37007.26,employee,8397.61,1534.34,948.87,698275.0,6.54,13675.64,16158.85,24556.46,0.4366,0.6636,0.3333,0.65,1.5724,0,1
35,100000035,47,26,1,rent,8809.65,1761.93,1186.23,0,2364.57,0.0,60,11757.81,employee,0.0,0.0,0.0,221982.34,5.11,4200.28,4200.28,4200.28,0.3572,0.3572,0.3333,0.45,1.5733,0,1
36,100000036,52,30,2,rent,11543.92,2308.78,1565.81,0,2526.65,0.0,60,15418.52,employee,0.0,0.0,0.0,215608.19,16.36,5284.5,5284.5,5284.5,0.3427,0.3427,0.3333,0.45,1.1653,0,1
37,100000037,70,0,1,rent,10698.08,2139.62,1362.65,0,2870.79,0.0,60,14200.34,retired,0.0,0.0,0.0,249681.41,5.55,4774.97,4774.97,4774.97,0.3363,0.3363,0.25,0.45,1.4652,0,1
38,100000038,43,20,3,mortgage,24855.58,4971.12,3352.14,1,0.0,11676.17,60,33178.84,employee,6883.78,3278.33,583.81,180022.48,6.15,3492.91,7355.05,14238.83,0.2217,0.4292,0.3333,0.65,0.4522,1,1
39,100000039,60,0,1,mortgage,8935.53,1787.11,1222.44,1,0.0,13842.15,60,11945.07,retired,2632.53,0.0,692.11,206293.69,17.02,5129.15,5821.26,8453.79,0.4873,0.7077,0.25,0.55,1.4392,0,1
40,100000040,53,29,1,rent,9807.91,1961.58,1280.95,0,2806.26,5333.66,60,13050.44,employee,0.0,0.0,266.68,102802.16,16.08,2504.32,2771.0,2771.0,0.2123,0.2123,0.3333,0.45,0.6564,1,1
41,100000041,52,28,3,rent,30496.0,6099.2,4151.22,0,8970.83,0.0,60,40746.41,employee,0.0,0.0,0.0,446290.99,16.43,10955.16,10955.16,10955.16,0.2689,0.2689,0.3333,0.45,0.9127,1,1
42,100000042,35,11,1,rent,6892.92,1378.58,968.48,0,1449.35,10339.18,60,9239.98,employee,0.0,0.0,516.96,99336.02,9.43,2082.84,2599.8,2599.8,0.2814,0.2814,0.3333,0.45,0.8959,1,1
43,100000043,59,37,3,mortgage,36116.76,7223.35,4790.65,1,0.0,0.0,60,48130.76,employee,8202.0,3402.27,0.0,561487.99,5.19,10644.92,14047.19,22249.19,0.2919,0.4623,0.3333,0.65,0.9722,1,1
44,100000044,41,20,2,rent,13086.26,2617.25,1748.3,0,2943.74,19908.33,60,17451.81,employee,0.0,0.0,995.42,274160.26,6.91,5417.07,6412.49,6412.49,0.3674,0.3674,0.3333,0.45,1.3091,0,1
45,100000045,44,23,3,mortgage,42860.71,8572.14,5933.08,1,0.0,36285.06,60,57365.94,employee,10227.26,0.0,1814.25,904726.96,5.19,17152.18,18966.43,29193.69,0.3306,0.5089,0.3333,0.65,1.3143,1,1
46,100000046,32,9,2,mortgage,15711.45,3142.29,2181.22,1,0.0,0.0,60,21034.96,employee,4790.8,0.0,0.0,261650.34,6.79,5155.11,5155.11,9945.91,0.2451,0.4728,0.3333,0.65,1.0366,1,1
47,100000047,63,0,1,mortgage,8905.15,1781.03,1201.58,1,0.0,11232.17,60,11887.76,retired,2445.57,0.0,561.61,116381.63,5.82,2240.25,2801.86,5247.43,0.2357,0.4414,0.25,0.55,0.8158,1,1
48,100000048,31,8,3,rent,30306.11,6061.22,3914.7,0,7554.7,30003.68,60,40282.03,employee,0.0,0.0,1500.18,503147.45,9.96,10680.5,12180.68,12180.68,0.3024,0.3024,0.3333,0.45,1.0409,1,1
49,100000049,60,0,3,mortgage,42244.14,8448.83,5791.74,1,0.0,0.0,60,56484.71,retired,11813.23,0.0,0.0,1066570.85,14.7,25206.0,25206.0,37019.23,0.4462,0.6554,0.25,0.65,1.5735,0,1
50,100000050,51,31,1,rent,9168.0,1833.6,1193.83,0,1913.78,13315.44,60,12195.43,employee,0.0,650.33,665.77,193514.2,4.91,3643.88,4959.98,4959.98,0.4067,0.4067,0.3333,0.45,1.3223,0,1
51,100000051,55,0,1,mortgage,6868.2,1373.64,905.82,1,0.0,8130.26,60,9147.66,retired,2055.49,0.0,406.51,59838.9,16.22,1462.17,1868.68,3924.17,0.2043,0.429,0.25,0.55,0.5451,1,1
52,100000052,29,6,1,mortgage,10792.6,2158.52,1457.6,1,0.0,0.0,60,14408.72,employee,2857.31,0.0,0.0,99762.4,15.67,2408.57,2408.57,5265.88,0.1672,0.3655,0.3333,0.55,0.577,1,1
53,100000053,50,30,3,rent,32396.97,6479.39,4255.89,0,6376.93,0.0,60,43132.26,employee,0.0,4614.53,0.0,137431.43,7.94,2782.67,7397.2,7397.2,0.1715,0.1715,0.3333,0.45,0.2655,1,1
54,100000054,64,0,1,rent,5520.42,1104.08,719.98,0,1344.56,0.0,60,7344.49,retired,0.0,665.88,0.0,83498.15,6.44,1631.39,2297.27,2297.27,0.3128,0.3128,0.25,0.45,0.9474,0,1
55,100000055,45,22,2,mortgage,17015.21,3403.04,2199.96,1,0.0,25923.8,60,22618.21,employee,3666.9,1121.52,1296.19,273539.52,9.62,5760.89,8178.6,11845.5,0.3616,0.5237,0.3333,0.65,1.0078,0,1
56,100000056,54,33,3,mortgage,22320.15,4464.03,3049.67,1,0.0,34655.83,60,29833.85,employee,6252.67,0.0,1732.79,210616.12,8.01,4271.54,6004.33,12257.0,0.2013,0.4108,0.3333,0.65,0.5883,1,1
57,100000057,34,13,3,rent,38685.87,7737.17,5333.97,0,7815.35,29305.28,60,51757.01,employee,0.0,0.0,1465.26,398363.22,10.87,8635.58,10100.84,10100.84,0.1952,0.1952,0.3333,0.45,0.6414,1,1
58,100000058,34,12,1,rent,6648.6,1329.72,919.1,0,1904.67,0.0,60,8897.42,employee,0.0,0.0,0.0,65930.66,5.42,1256.92,1256.92,1256.92,0.1413,0.1413,0.3333,0.45,0.6175,1,1
59,100000059,67,0,1,rent,9358.52,1871.7,1224.87,0,2834.13,14436.85,60,12455.1,retired,0.0,825.5,721.84,108305.09,5.78,2082.78,3630.12,3630.12,0.2915,0.2915,0.25,0.45,0.7246,0,1
60,100000060,25,2,1,rent,8110.25,1622.05,1149.07,0,1938.41,9669.43,60,10881.37,employee,0.0,0.0,483.47,188879.39,10.23,4034.54,4518.01,4518.01,0.4152,0.4152,0.3333,0.45,1.4465,0,1
61,100000061,63,42,3,rent,28506.15,5701.23,3697.25,0,6648.86,16690.92,60,37904.62,employee,0.0,4312.12,834.55,454047.48,5.88,8752.7,13899.37,13899.37,0.3667,0.3667,0.3333,0.45,0.9982,0,1
62,100000062,60,0,1,mortgage,9086.14,1817.23,1272.25,1,0.0,9800.69,60,12175.62,retired,2354.8,0.0,490.03,145621.55,17.15,3630.83,4120.86,6475.66,0.3385,0.5319,0.25,0.55,0.9967,0,1
63,100000063,18,0,2,rent,11244.24,2248.85,1555.53,0,2472.73,6615.05,60,15048.62,employee,0.0,0.0,330.75,91348.38,15.69,2206.4,2537.15,2537.15,0.1686,0.1686,0.3333,0.45,0.5059,1,1
64,100000064,37,15,1,rent,9104.33,1820.87,1248.47,0,2407.72,11608.29,60,12173.66,employee,0.0,0.0,580.41,182415.28,14.77,4317.65,4898.06,4898.06,0.4023,0.4023,0.3333,0.45,1.2487,0,1
65,100000065,53,29,1,mortgage,6358.48,1271.7,827.81,1,0.0,7478.56,60,8457.98,employee,2022.52,411.86,373.93,81079.38,14.52,1908.5,2694.29,4716.81,0.3186,0.5577,0.3333,0.55,0.7988,0,1
66,100000066,24,0,1,rent,9971.52,1994.3,1297.5,0,1971.74,14237.8,60,13263.32,employee,0.0,0.0,711.89,89883.54,11.95,1997.14,2709.03,2709.03,0.2042,0.2042,0.3333,0.45,0.5647,1,1
67,100000067,31,8,3,rent,29388.58,5877.72,4143.14,0,5815.36,11326.19,60,39409.44,employee,0.0,0.0,566.31,416442.36,13.77,9640.3,10206.61,10206.61,0.259,0.259,0.3333,0.45,0.8806,1,1
68,100000068,62,0,3,rent,38342.83,7668.57,5221.22,0,10631.16,0.0,60,51232.62,retired,0.0,0.0,0.0,199058.35,10.96,4324.04,4324.04,4324.04,0.0844,0.0844,0.25,0.45,0.3238,1,1
69,100000069,37,16,3,rent,26967.7,5393.54,3797.0,0,7074.44,0.0,60,36158.24,employee,0.0,0.0,0.0,308840.98,14.94,7337.58,7337.58,7337.58,0.2029,0.2029,0.3333,0.45,0.7118,1,1
70,100000070,70,0,2,mortgage,11422.92,2284.58,1553.26,1,0.0,13541.75,60,15260.77,retired,2919.85,795.43,677.09,128132.29,8.14,2606.65,4079.17,6999.02,0.2673,0.4586,0.25,0.65,0.6997,0,1
71,100000071,65,0,1,mortgage,10476.2,2095.24,1455.45,1,0.0,5143.82,60,14026.89,retired,2509.37,1479.75,257.19,138894.46,7.72,2797.7,4534.64,7044.01,0.3233,0.5022,0.25,0.55,0.8252,0,1
72,100000072,54,34,2,rent,11495.65,2299.13,1489.36,0,3115.53,13973.85,60,15284.14,employee,0.0,1732.05,698.69,110419.58,14.38,2591.08,5021.82,5021.82,0.3286,0.3286,0.3333,0.45,0.602,1,1
73,100000073,42,22,3,rent,27169.34,5433.87,3440.74,0,6536.08,24128.51,60,36043.95,employee,0.0,0.0,1206.43,662532.85,5.98,12802.46,14008.89,14008.89,0.3887,0.3887,0.3333,0.45,1.5318,0,1
74,100000074,53,30,2,rent,18534.95,3706.99,2368.06,0,4247.12,0.0,60,24610.0,employee,0.0,3132.6,0.0,349053.59,8.45,7152.96,10285.56,10285.56,0.4179,0.4179,0.3333,0.45,1.182,0,1
75,100000075,45,21,2,rent,15351.88,3070.38,1985.63,0,4594.8,0.0,60,20407.89,employee,0.0,870.71,0.0,337796.52,8.5,6930.41,7801.12,7801.12,0.3823,0.3823,0.3333,0.45,1.3794,0,1
76,100000076,55,0,2,rent,17244.55,3448.91,2339.5,0,3814.47,13579.32,60,23032.96,retired,0.0,1406.84,678.97,332503.08,10.98,7226.11,9311.92,9311.92,0.4043,0.4043,0.25,0.45,1.203,0,1
77,100000077,51,30,3,mortgage,44553.82,8910.76,5987.61,1,0.0,0.0,60,59452.2,employee,14797.41,3626.34,0.0,1036441.16,5.27,19687.39,23313.73,38111.14,0.3921,0.641,0.3333,0.65,1.4528,0,1
78,100000078,22,0,1,rent,4905.24,981.05,676.22,0,1033.54,7348.82,60,6562.51,employee,0.0,0.0,367.44,123495.54,9.99,2623.31,2990.75,2990.75,0.4557,0.4557,0.3333,0.45,1.5682,0,1
79,100000079,32,10,1,mortgage,11155.62,2231.12,1421.94,1,0.0,8804.62,60,14808.69,employee,2397.27,0.0,440.23,148065.42,10.29,3167.12,3607.35,6004.62,0.2436,0.4055,0.3333,0.55,0.8332,1,1
80,100000080,59,38,2,mortgage,15650.0,3130.0,2020.79,1,0.0,12924.74,60,20800.79,employee,5345.14,0.0,646.24,299544.14,5.39,5706.44,6352.68,11697.82,0.3054,0.5624,0.3333,0.65,1.2001,1,1
81,100000081,48,24,1,rent,5691.66,1138.33,758.17,0,1413.86,5730.45,60,7588.16,employee,0.0,0.0,286.52,43768.37,4.6,817.97,1104.49,1104.49,0.1456,0.1456,0.3333,0.45,0.4807,1,1
82,100000082,56,0,1,mortgage,5711.48,1142.3,780.91,1,0.0,2924.41,60,7634.69,retired,1319.77,0.0,146.22,139214.27,4.88,2619.5,2765.72,4085.49,0.3623,0.5351,0.25,0.55,1.5195,0,1
83,100000083,67,0,1,rent,8862.11,1772.42,1152.03,0,2615.47,0.0,60,11786.56,retired,0.0,0.0,0.0,91702.97,9.43,1922.8,1922.8,1922.8,0.1631,0.1631,0.25,0.45,0.6484,1,1
84,100000084,54,34,3,rent,40395.24,8079.05,5138.02,0,8534.1,0.0,60,53612.3,employee,0.0,2478.2,0.0,184088.75,8.42,3769.77,6247.97,6247.97,0.1165,0.1165,0.3333,0.45,0.2861,1,1
85,100000085,29,8,1,rent,8576.89,1715.38,1194.3,0,2374.63,0.0,60,11486.57,employee,0.0,0.0,0.0,150792.91,8.05,3061.15,3061.15,3061.15,0.2665,0.2665,0.3333,0.45,1.094,1,1
86,100000086,29,5,1,rent,4330.31,866.06,589.31,0,1251.0,0.0,60,5785.68,employee,0.0,0.0,0.0,21706.01,11.06,472.59,472.59,472.59,0.0817,0.0817,0.3333,0.45,0.3126,1,1
87,100000087,39,17,2,rent,13081.14,2616.23,1770.88,0,2615.98,7888.31,60,17468.25,employee,0.0,0.0,394.42,159505.01,8.55,3276.33,3670.75,3670.75,0.2101,0.2101,0.3333,0.45,0.7609,1,1
88,100000088,29,6,3,rent,35959.76,7191.95,4699.38,0,10659.49,31584.64,60,47851.09,employee,0.0,0.0,1579.23,740695.58,8.79,15300.24,16879.47,16879.47,0.3527,0.3527,0.3333,0.45,1.2899,0,1
89,100000089,64,0,1,mortgage,9845.64,1969.13,1301.29,1,0.0,0.0,60,13116.05,retired,2144.41,0.0,0.0,85932.05,15.72,2076.94,2076.94,4221.35,0.1584,0.3218,0.25,0.55,0.546,1,1
90,100000090,44,23,1,rent,9910.86,1982.17,1348.82,0,2790.35,14403.04,60,13241.85,employee,0.0,0.0,720.15,154219.57,11.17,3366.2,4086.35,4086.35,0.3086,0.3086,0.3333,0.45,0.9705,1,1
91,100000091,28,5,1,rent,5425.9,1085.18,705.82,0,1468.75,0.0,60,7216.9,employee,0.0,0.0,0.0,84284.84,16.94,2091.98,2091.98,2091.98,0.2899,0.2899,0.3333,0.45,0.9732,1,1
92,100000092,30,7,2,rent,11274.85,2254.97,1564.38,0,3157.14,8519.91,60,15094.2,employee,0.0,1092.32,426.0,226227.47,9.22,4720.3,6238.62,6238.62,0.4133,0.4133,0.3333,0.45,1.249,0,1
93,100000093,61,37,3,mortgage,29560.28,5912.06,3835.07,1,0.0,10801.29,60,39307.41,employee,8119.55,4239.62,540.06,181479.66,17.44,4553.28,9332.96,17452.51,0.2374,0.444,0.3333,0.65,0.3847,1,1
94,100000094,49,28,3,mortgage,40326.89,8065.38,5618.19,1,0.0,0.0,60,54010.46,employee,14027.84,0.0,0.0,723403.56,16.82,17908.5,17908.5,31936.34,0.3316,0.5913,0.3333,0.65,1.1161,1,1
95,100000095,30,7,1,rent,6077.21,1215.44,772.48,0,1413.81,6650.71,60,8065.13,employee,0.0,0.0,332.54,142104.15,5.72,2728.81,3061.35,3061.35,0.3796,0.3796,0.3333,0.45,1.4683,0,1
96,100000096,41,21,2,rent,11220.76,2244.15,1541.78,0,3054.1,8525.88,60,15006.68,employee,0.0,1716.46,426.29,166139.12,5.03,3137.53,5280.28,5280.28,0.3519,0.3519,0.3333,0.45,0.9226,0,1
97,100000097,26,6,2,rent,11367.2,2273.44,1564.17,0,3097.37,0.0,60,15204.81,employee,0.0,1776.85,0.0,257666.59,13.22,5891.77,7668.62,7668.62,0.5044,0.5044,0.3333,0.45,1.4122,0,1
98,100000098,25,1,2,rent,12173.64,2434.73,1659.34,0,3089.71,0.0,60,16267.71,employee,0.0,0.0,0.0,281525.52,10.84,6098.61,6098.61,6098.61,0.3749,0.3749,0.3333,0.45,1.4421,0,1
99,100000099,31,8,2,rent,14306.07,2861.21,1849.52,0,4016.48,18887.31,60,19016.81,employee,0.0,0.0,944.37,298516.52,9.19,6224.28,7168.65,7168.65,0.377,0.377,0.3333,0.45,1.3081,0,1
100,100000100,42,21,1,rent,8017.54,1603.51,1058.39,0,2293.52,0.0,60,10679.43,employee,0.0,705.74,0.0,125655.78,6.28,2445.67,3151.41,3151.41,0.2951,0.2951,0.3333,0.45,0.9805,1,1
101,100000101,58,0,1,mortgage,9488.4,1897.68,1192.34,1,0.0,9799.58,60,12578.42,retired,3243.17,0.0,489.98,162326.85,6.88,3205.08,3695.06,6938.23,0.2938,0.5516,0.25,0.55,1.0754,0,1
102,100000102,64,0,1,mortgage,8552.47,1710.49,1187.35,1,0.0,0.0,60,11450.32,retired,2510.44,520.51,0.0,63531.2,8.23,1295.19,1815.7,4326.14,0.1586,0.3778,0.25,0.55,0.4624,1,1
103,100000103,53,31,2,mortgage,17097.63,3419.53,2199.62,1,0.0,17010.15,60,22716.78,employee,4578.23,2159.17,850.51,403095.13,13.38,9250.26,12259.94,16838.17,0.5397,0.7412,0.3333,0.65,1.4787,0,1
104,100000104,61,38,3,mortgage,30671.68,6134.34,4361.0,1,0.0,48839.2,60,41167.01,employee,9858.41,0.0,2441.96,737983.72,4.7,13825.46,16267.42,26125.83,0.3952,0.6346,0.3333,0.65,1.4939,0,1
105,100000105,57,0,1,rent,4515.47,903.09,599.74,0,1406.58,5231.68,60,6018.3,retired,0.0,0.0,261.58,32720.07,11.4,717.96,979.54,979.54,0.1628,0.1628,0.25,0.45,0.4531,1,1
106,100000106,25,2,1,rent,4259.78,851.96,582.5,0,954.26,0.0,60,5694.23,employee,0.0,0.0,0.0,89117.24,15.78,2156.75,2156.75,2156.75,0.3788,0.3788,0.3333,0.45,1.3042,0,1
107,100000107,59,0,1,mortgage,5060.62,1012.12,642.91,1,0.0,2978.63,60,6715.66,retired,1680.23,0.0,148.93,32277.61,5.91,622.67,771.6,2451.83,0.1149,0.3651,0.25,0.55,0.4005,1,1
108,100000108,58,36,3,rent,23236.9,4647.38,3126.41,0,6855.24,0.0,60,31010.69,employee,0.0,2714.46,0.0,252854.77,17.21,6312.68,9027.14,9027.14,0.2911,0.2911,0.3333,0.45,0.6795,1,1
109,100000109,38,14,2,mortgage,14708.55,2941.71,1857.17,1,0.0,15104.56,60,19507.42,employee,4715.05,0.0,755.23,160953.39,4.85,3026.34,3781.57,8496.62,0.1939,0.4356,0.3333,0.65,0.6876,1,1
110,100000110,30,9,1,rent,9750.49,1950.1,1292.9,0,2741.92,0.0,60,12993.49,employee,0.0,1501.17,0.0,118573.01,6.38,2313.36,3814.53,3814.53,0.2936,0.2936,0.3333,0.45,0.7605,1,1
111,100000111,68,0,1,mortgage,7959.69,1591.94,1051.76,1,0.0,0.0,60,10603.39,retired,2093.66,485.44,0.0,169239.32,9.64,3565.93,4051.37,6145.03,0.3821,0.5795,0.25,0.55,1.3301,0,1
112,100000112,28,6,2,mortgage,15796.69,3159.34,2221.67,1,0.0,18825.86,60,21177.7,employee,4367.86,0.0,941.29,121529.74,4.93,2289.52,3230.81,7598.67,0.1526,0.3588,0.3333,0.65,0.4782,1,1
113,100000113,38,16,3,rent,28945.67,5789.13,4110.68,0,8160.55,37264.33,60,38845.48,employee,0.0,0.0,1863.22,237693.41,11.14,5184.64,7047.86,7047.86,0.1814,0.1814,0.3333,0.45,0.5099,1,1
114,100000114,40,18,3,rent,28552.27,5710.45,3831.64,0,8139.93,42754.71,60,38094.36,employee,0.0,0.0,2137.74,508941.21,16.1,12403.52,14541.26,14541.26,0.3817,0.3817,0.3333,0.45,1.1133,0,1
115,100000115,41,20,1,rent,10476.39,2095.28,1501.02,0,3027.62,0.0,60,14072.69,employee,0.0,1139.3,0.0,261912.79,9.18,5459.79,6599.09,6599.09,0.4689,0.4689,0.3333,0.45,1.551,0,1
116,100000116,43,20,1,mortgage,5620.87,1124.17,805.34,1,0.0,0.0,60,7550.38,employee,1772.95,0.0,0.0,140713.39,14.98,3346.08,3346.08,5119.03,0.4432,0.678,0.3333,0.55,1.553,0,1
