accountNumber,ds,y,creditLimit,currentBalance,availableMoney,n_transactions
110625245,2016-10,-60.47,500,0.0,500.0,1
110625245,2016-11,-81.99,500,0.0,500.0,1
111113489,2016-01,-5383.13,15000,5649.16,9350.84,34
111113489,2016-02,-6316.62,15000,6789.37,8210.63,31
111113489,2016-03,-3388.15,15000,3310.9,11689.1,21
111113489,2016-04,-4929.76,15000,4858.42,10141.58,33
111113489,2016-05,-4656.49,15000,4647.6,10352.4,29
111113489,2016-06,-6379.19,15000,6376.99,8623.01,37
111113489,2016-07,-3549.86,15000,3396.91,11603.09,28
111113489,2016-08,-5056.31,15000,4806.41,10193.59,28
111113489,2016-09,-5793.87,15000,5778.12,9221.88,45
111113489,2016-10,-3705.76,15000,3263.32,11736.68,23
111113489,2016-11,-3170.27,15000,2821.01,12178.99,30
111113489,2016-12,-3488.15,15000,3380.05,11619.95,29
111203726,2016-01,-484.38,5000,22.61,4977.39,2
111203726,2016-03,-865.3100000000001,5000,1300.03,3699.97,7
111203726,2016-04,-87.59,5000,1375.41,3624.59,4
111203726,2016-06,-162.95999999999998,5000,1466.02,3533.98,2
111203726,2016-07,-151.13,5000,1632.83,3367.17,2
111203726,2016-08,-289.46,5000,1875.07,3124.93,3
111203726,2016-09,-433.23,5000,2280.06,2719.94,4
111203726,2016-10,-257.73,5000,2488.5,2511.5,4
111203726,2016-11,-839.5,5000,3426.15,1573.85,7
111203726,2016-12,-473.72999999999996,5000,3881.82,1118.18,3
112169253,2016-10,-6.24,7500,0.0,7500.0,1
112169253,2016-11,-6.24,7500,0.0,7500.0,1
112169253,2016-12,-6.24,7500,0.0,7500.0,1
113104883,2016-01,-138.32,10000,133.63,9866.37,3
113104883,2016-02,-4.69,10000,0.0,10000.0,1
113104883,2016-03,-430.87,10000,426.18,9573.82,2
113104883,2016-04,-414.92999999999995,10000,410.24,9589.76,4
113104883,2016-05,-4.69,10000,0.0,10000.0,1
113104883,2016-06,-327.02,10000,322.33,9677.67,3
113104883,2016-07,-20.13,10000,15.44,9984.56,2
113104883,2016-08,-192.38,10000,64.06,9935.94,4
113104883,2016-09,-170.5,10000,165.81,9834.19,5
113104883,2016-10,-611.8000000000001,10000,607.11,9392.89,4
113104883,2016-11,184.84000000000003,10000,280.83,9719.17,3
113104883,2016-12,-20.13,10000,4.69,9995.31,2
114896048,2016-01,-6356.97,15000,6340.64,8659.36,44
114896048,2016-02,-6196.27,15000,12128.72,2871.28,47
114896048,2016-03,-5009.55,15000,4379.81,10620.19,44
114896048,2016-04,-5778.19,15000,10065.37,4934.63,30
114896048,2016-05,-5856.08,15000,11582.63,3417.37,47
114896048,2016-06,-3896.41,15000,13465.69,1534.31,38
114896048,2016-07,-8996.36,15000,3647.0,11353.0,53
114896048,2016-08,-6956.34,15000,10670.48,4329.52,53
114896048,2016-09,-5118.86,15000,10565.12,4434.88,42
114896048,2016-10,-7134.82,15000,4361.49,10638.51,48
114896048,2016-11,-4797.59,15000,9367.25,5632.75,34
114896048,2016-12,-3985.59,15000,13347.85,1652.15,43
115204864,2016-01,-505.96000000000004,250,0.0,250.0,5
115204864,2016-02,-306.63,250,0.0,250.0,1
115204864,2016-03,-34.73,250,0.3,249.7,2
115204864,2016-04,-1092.45,250,154.91,95.09,8
115204864,2016-05,-697.35,250,233.97,16.03,3
115204864,2016-06,-1096.08,250,196.96,53.04,4
115204864,2016-07,-1022.75,250,122.62,127.38,7
115204864,2016-08,-296.71000000000004,250,113.46,136.54,3
115204864,2016-09,-953.1099999999999,250,163.26,86.74,8
115204864,2016-10,-1316.81,250,153.68,96.32,5
115204864,2016-11,-270.5,250,1.63,248.37,2
115204864,2016-12,-663.46,250,27.51,222.49,5
119877862,2016-01,-205.24,7500,0.0,7500.0,1
119877862,2016-05,-60.52,7500,192.56,7307.44,2
119877862,2016-06,-563.4000000000001,7500,488.86,7011.14,2
119877862,2016-08,0.0,7500,1033.34,6466.66,2
119877862,2016-10,-25.35,7500,729.16,6770.84,1
119877862,2016-11,-317.89,7500,729.51,6770.49,1
119877862,2016-12,-6.28,7500,1022.4,6477.6,1
121492310,2016-04,-152.97,5000,0.0,5000.0,1
121492310,2016-05,-90.93,5000,0.0,5000.0,1
121492310,2016-10,-310.12,5000,12.65,4987.35,2
121492310,2016-11,-12.65,5000,0.0,5000.0,1
121492310,2016-12,-330.53,5000,12.65,4987.35,2
123648720,2016-01,-1518.6599999999999,7500,1401.84,6098.16,13
123648720,2016-02,-1156.4099999999999,7500,2583.87,4916.13,10
123648720,2016-03,-1036.42,7500,3538.14,3961.86,12
123648720,2016-04,-1100.98,7500,4447.54,3052.46,7
123648720,2016-05,-1336.62,7500,5990.43,1509.57,11
123648720,2016-06,-1344.27,7500,1175.28,6324.72,12
123648720,2016-07,-1065.51,7500,2248.32,5251.68,12
123648720,2016-08,-884.9200000000001,7500,3023.86,4476.14,9
123648720,2016-09,-2797.54,7500,4913.35,2586.65,15
123648720,2016-10,-1006.4399999999999,7500,6748.81,751.19,8
123648720,2016-11,-758.69,7500,5096.07,2403.93,5
123648720,2016-12,-2043.83,7500,6876.99,623.01,9
125221039,2016-04,-92.0,250,49.85,200.15,2
125221039,2016-05,-565.99,250,174.64,75.36,4
125221039,2016-06,-102.12,250,56.86,193.14,2
125221039,2016-07,-92.91,250,131.84,118.16,2
125221039,2016-08,-293.74,250,0.0,250.0,3
125221039,2016-09,-104.69,250,69.88,180.12,2
125221039,2016-10,-84.0,250,138.69,111.31,2
125221039,2016-11,-695.95,250,0.0,250.0,4
125221039,2016-12,-98.64,250,73.06,176.94,2
126809470,2016-01,-10328.02,250,174.89,75.11,58
126809470,2016-02,-3595.02,250,0.08,249.92,30
126809470,2016-03,-7785.08,250,0.0,250.0,68
126809470,2016-04,-7647.36,250,285.63,-35.63,47
126809470,2016-05,-9378.65,250,140.67,109.33,62
126809470,2016-06,-7736.84,250,215.32,34.68,59
126809470,2016-07,-9120.31,250,186.56,63.44,63
126809470,2016-08,-9353.2,250,219.27,30.73,64
126809470,2016-09,-10006.72,250,72.83,177.17,58
126809470,2016-10,-6546.1,250,60.9,189.1,53
126809470,2016-11,-8318.92,250,57.27,192.73,63
126809470,2016-12,-8115.98,250,200.69,49.31,52
127398035,2016-02,-74.94,15000,56.49,14943.51,3
127398035,2016-04,-36.27,15000,0.0,15000.0,3
127398035,2016-05,-318.96000000000004,15000,17.29,14982.71,2
127398035,2016-06,-1902.01,15000,1797.51,13202.49,6
127398035,2016-07,-311.8,15000,0.0,15000.0,1
127398035,2016-08,-48.2,15000,9.03,14990.97,3
127398035,2016-09,-73.83,15000,7.27,14992.73,2
127398035,2016-10,-355.32,15000,164.25,14835.75,4
127398035,2016-11,-67.31,15000,7.27,14992.73,2
127398035,2016-12,-7.27,15000,0.0,15000.0,1
128103719,2016-01,-7791.71,20000,7633.35,12366.65,46
128103719,2016-02,-5262.76,20000,12896.52,7103.48,31
128103719,2016-03,-4887.78,20000,17888.29,2111.71,38
128103719,2016-04,-5014.76,20000,14960.63,5039.37,37
128103719,2016-05,-4930.61,20000,885.76,19114.24,39
128103719,2016-06,-5479.49,20000,6521.12,13478.88,45
128103719,2016-07,-7478.780000000001,20000,13769.3,6230.7,52
128103719,2016-08,-4691.88,20000,18632.28,1367.72,30
128103719,2016-09,-4559.83,20000,15553.25,4446.75,34
128103719,2016-10,-6486.23,20000,9339.71,10660.29,42
128103719,2016-11,-3052.89,20000,12399.66,7600.34,34
128103719,2016-12,-6503.1900000000005,20000,18877.25,1122.75,46
128258324,2016-01,-771.4100000000001,2500,484.85,2015.15,5
128258324,2016-02,-1264.31,2500,1239.31,1260.69,8
128258324,2016-03,-2201.36,2500,1767.57,732.43,12
128258324,2016-04,-2525.26,2500,630.23,1869.77,14
128258324,2016-05,-3743.3,2500,1861.08,638.92,17
128258324,2016-06,-1847.1,2500,1792.69,707.31,16
128258324,2016-07,-1541.4,2500,1512.9,987.1,12
128258324,2016-08,-1153.92,2500,1110.98,1389.02,11
128258324,2016-09,-1933.08,2500,1912.99,587.01,16
128258324,2016-10,-3354.2,2500,2341.61,158.39,20
128258324,2016-11,-2367.04,2500,2106.54,393.46,13
128258324,2016-12,-722.99,2500,696.77,1803.23,14
128568235,2016-01,-344.81,5000,271.17,4728.83,3
128568235,2016-02,-179.57,5000,409.09,4590.91,2
128568235,2016-03,-673.46,5000,1047.17,3952.83,3
128568235,2016-04,-469.08,5000,1438.19,3561.81,3
128568235,2016-05,-333.14,5000,1566.92,3433.08,1
128568235,2016-06,-258.5,5000,2127.84,2872.16,5
128568235,2016-07,-477.75000000000006,5000,2580.59,2419.41,4
128568235,2016-08,-179.25,5000,2734.84,2265.16,2
128568235,2016-09,-11.84,5000,2721.68,2278.32,2
128568235,2016-10,-5.72,5000,2702.4,2297.6,1
128568235,2016-11,-908.6,5000,3586.0,1414.0,3
128568235,2016-12,-294.84000000000003,5000,3855.84,1144.16,5
130517112,2016-01,-908.36,5000,818.74,4181.26,6
130517112,2016-02,-72.53,5000,930.15,4069.85,2
130517112,2016-03,-556.8199999999999,5000,1308.01,3691.99,4
130517112,2016-04,-431.03,5000,1609.16,3390.84,4
130517112,2016-05,-203.1,5000,2071.42,2928.58,5
130517112,2016-06,-325.58,5000,2326.25,2673.75,6
130517112,2016-07,-707.39,5000,2755.16,2244.84,7
130517112,2016-08,-657.67,5000,3667.13,1332.87,7
130517112,2016-09,-839.84,5000,4359.46,640.54,7
130517112,2016-10,-1483.3200000000002,5000,2746.1,2253.9,11
130517112,2016-11,-1065.59,5000,4020.47,979.53,9
130517112,2016-12,-1475.02,5000,2427.25,2572.75,11
131209046,2016-01,-982.8100000000001,7500,890.51,6609.49,6
131209046,2016-02,-222.60000000000008,7500,1350.38,6149.62,11
131209046,2016-03,-824.89,7500,1568.94,5931.06,6
131209046,2016-04,-1741.12,7500,3470.19,4029.81,11
131209046,2016-05,-658.09,7500,4299.16,3200.84,10
131209046,2016-06,-1919.12,7500,5435.59,2064.41,7
131209046,2016-07,-588.97,7500,6653.24,846.76,6
131209046,2016-08,-1737.12,7500,2515.03,4984.97,6
131209046,2016-09,-641.81,7500,3410.15,4089.85,7
131209046,2016-10,-1533.25,7500,4899.03,2600.97,6
131209046,2016-11,-904.04,7500,5904.05,1595.95,7
131209046,2016-12,-1266.24,7500,7088.6,411.4,8
131358492,2016-06,-739.6700000000001,5000,670.6,4329.4,3
131358492,2016-07,-147.94,5000,796.25,4203.75,3
131358492,2016-08,-217.25,5000,999.43,4000.57,4
131358492,2016-09,-314.17,5000,1288.6,3711.4,4
131358492,2016-10,-189.24,5000,1452.84,3547.16,4
131358492,2016-11,-140.64,5000,1568.48,3431.52,3
131358492,2016-12,-135.81,5000,1679.29,3320.71,3
132395288,2016-01,-739.45,15000,342.58,14657.42,5
132395288,2016-02,-190.72,15000,869.39,14130.61,4
132395288,2016-03,-86.52000000000001,15000,925.16,14074.84,3
132395288,2016-04,-163.51,15000,1069.42,13930.58,4
132395288,2016-05,-79.73,15000,1115.98,13884.02,2
132395288,2016-06,-79.83,15000,1178.98,13821.02,3
132395288,2016-07,-799.68,15000,1944.55,13055.45,7
132395288,2016-08,-285.79,15000,2195.38,12804.62,6
132395288,2016-09,-145.39999999999998,15000,2334.85,12665.15,4
132395288,2016-10,-343.34,15000,2652.46,12347.54,5
132395288,2016-11,-264.55,15000,2837.59,12162.41,7
132395288,2016-12,-160.41,15000,3028.15,11971.85,4
134126085,2016-11,-81.6,20000,40.8,19959.2,2
134126085,2016-12,-122.39999999999999,20000,138.2,19861.8,3
135894570,2016-01,-369.39,10000,213.0,9787.0,5
135894570,2016-03,-710.31,10000,561.04,9438.96,4
135894570,2016-04,-534.25,10000,1530.46,8469.54,6
135894570,2016-05,-959.78,10000,2366.08,7633.92,8
135894570,2016-06,-471.94,10000,2923.04,7076.96,4
135894570,2016-07,-284.70000000000005,10000,3205.37,6794.63,4
135894570,2016-08,-435.65999999999997,10000,3609.34,6390.66,7
135894570,2016-09,-3.91,10000,3591.03,6408.97,3
135894570,2016-10,-300.24,10000,3797.43,6202.57,8
135894570,2016-11,-1601.8700000000001,10000,5443.14,4556.86,16
135894570,2016-12,-1067.83,10000,6368.4,3631.6,11
136847045,2016-01,-857.25,1000,621.21,378.79,6
136847045,2016-02,-672.55,1000,836.1,163.9,3
136847045,2016-03,-754.59,1000,797.88,202.12,5
136847045,2016-04,-721.05,1000,685.0,315.0,7
136847045,2016-05,-1161.8,1000,604.61,395.39,9
136847045,2016-06,-1080.58,1000,843.74,156.26,6
136847045,2016-07,-979.4200000000001,1000,567.01,432.99,12
136847045,2016-08,-399.87,1000,0.0,1000.0,7
136847045,2016-09,-584.13,1000,557.09,442.91,14
136847045,2016-10,-628.49,1000,677.04,322.96,6
136847045,2016-11,-881.8,1000,464.32,535.68,8
136847045,2016-12,-804.71,1000,617.21,382.79,9
142263758,2016-01,-1353.34,2500,1252.76,1247.24,13
142263758,2016-02,-4428.97,2500,205.13,2294.87,26
142263758,2016-03,-2456.71,2500,942.08,1557.92,24
142263758,2016-04,-1456.37,2500,2373.21,126.79,19
142263758,2016-05,-3704.67,2500,1774.75,725.25,27
142263758,2016-06,-2532.9,2500,394.87,2105.13,23
142263758,2016-07,-2042.14,2500,953.09,1546.91,19
142263758,2016-08,-4782.21,2500,1661.65,838.35,27
142263758,2016-09,-4308.6,2500,2145.03,354.97,34
142263758,2016-10,-4695.16,2500,635.56,1864.44,36
142263758,2016-11,-4393.38,2500,1605.17,894.83,28
142263758,2016-12,-2144.7599999999998,2500,2339.63,160.37,18
143138443,2016-02,-292.08000000000004,5000,227.22,4772.78,3
143138443,2016-04,-116.73,5000,114.83,4885.17,2
143138443,2016-05,-19.94,5000,0.0,5000.0,1
143138443,2016-06,-654.02,5000,593.74,4406.26,4
143138443,2016-07,-161.02,5000,0.0,5000.0,1
143138443,2016-08,-546.63,5000,460.09,4539.91,3
143138443,2016-09,-18.31,5000,0.0,5000.0,1
143138443,2016-11,-208.84,5000,156.79,4843.21,3
143138443,2016-12,-282.59,5000,135.67,4864.33,3
147500505,2016-01,-104.69,7500,42.98,7457.02,3
147500505,2016-02,-268.78,7500,127.34,7372.66,2
147500505,2016-03,-1108.4399999999998,7500,1397.83,6102.17,3
147500505,2016-04,-408.59000000000003,7500,1697.08,5802.92,4
147500505,2016-05,-22.12,7500,1790.5,5709.5,1
147500505,2016-06,-145.56,7500,1853.11,5646.89,3
147500505,2016-07,-447.09,7500,2305.38,5194.62,6
147500505,2016-08,-498.05999999999995,7500,2388.3,5111.7,3
147500505,2016-09,-244.74,7500,2968.28,4531.72,3
147500505,2016-10,-79.19,7500,3045.19,4454.81,2
147500505,2016-11,-852.61,7500,3910.19,3589.81,5
147500505,2016-12,-169.23000000000002,7500,4015.34,3484.66,4
149502774,2016-01,-1103.33,5000,1015.45,3984.55,5
149502774,2016-02,-152.17,5000,147.1,4852.9,3
149502774,2016-03,-155.95,5000,150.88,4849.12,2
149502774,2016-04,-5.07,5000,0.0,5000.0,1
149502774,2016-05,-70.53999999999999,5000,65.47,4934.53,2
149502774,2016-06,-1100.37,5000,1095.3,3904.7,5
149502774,2016-07,-304.28000000000003,5000,299.21,4700.79,3
149502774,2016-08,-308.91,5000,303.84,4696.16,3
149502774,2016-09,-280.3,5000,275.23,4724.77,4
149502774,2016-10,-796.73,5000,791.66,4208.34,3
149502774,2016-11,-612.69,5000,607.62,4392.38,4
149502774,2016-12,-76.58,5000,0.0,5000.0,1
149680044,2016-02,-116.29,7500,0.0,7500.0,1
149680044,2016-03,-121.35000000000001,7500,178.47,7321.53,2
149680044,2016-04,-167.85999999999999,7500,264.37,7235.63,3
149680044,2016-05,-142.67,7500,436.39,7063.61,3
149680044,2016-06,-374.48,7500,647.46,6852.54,6
149680044,2016-07,-429.04,7500,1188.52,6311.48,5
149680044,2016-08,-330.28999999999996,7500,1495.2,6004.8,5
149680044,2016-09,-907.77,7500,2376.7,5123.3,6
149680044,2016-10,-212.93,7500,2598.96,4901.04,4
149680044,2016-11,-268.62,7500,2842.58,4657.42,5
149680044,2016-12,-128.01999999999998,7500,2909.56,4590.44,5
150207267,2016-01,-626.35,5000,371.17,4628.83,3
150207267,2016-02,-347.62,5000,336.07,4663.93,3
150207267,2016-03,-818.98,5000,558.24,4441.76,5
150207267,2016-04,-277.81,5000,266.26,4733.74,3
150207267,2016-05,-533.9,5000,459.41,4540.59,6
150207267,2016-06,-325.43,5000,313.88,4686.12,3
150207267,2016-07,-629.96,5000,557.4,4442.6,9
150207267,2016-08,-443.18,5000,343.22,4656.78,5
150207267,2016-09,-1351.24,5000,1339.69,3660.31,6
150207267,2016-10,-282.83,5000,271.28,4728.72,4
150207267,2016-11,-213.03,5000,201.48,4798.52,3
150207267,2016-12,-82.68,5000,71.13,4928.87,4
151401831,2016-02,-469.99,10000,298.28,9701.72,4
151401831,2016-04,-133.49,10000,126.54,9873.46,3
151401831,2016-05,-501.01,10000,403.78,9596.22,3
151401831,2016-07,-2.06,10000,0.0,10000.0,1
151401831,2016-08,-297.7,10000,207.05,9792.95,4
151401831,2016-09,-911.98,10000,531.56,9468.44,7
151401831,2016-10,-448.38,10000,388.26,9611.74,5
151401831,2016-11,-244.15,10000,193.94,9806.06,6
151401831,2016-12,-958.74,10000,899.66,9100.34,7
153938865,2016-01,-103.44,2500,50.66,2449.34,2
153938865,2016-02,-952.44,2500,584.19,1915.81,4
153938865,2016-03,-349.17,2500,13.12,2486.88,6
153938865,2016-04,-223.96000000000004,2500,387.1,2112.9,2
153938865,2016-05,-181.09,2500,157.84,2342.16,4
153938865,2016-06,-468.31,2500,263.15,2236.85,5
153938865,2016-07,-318.06,2500,285.96,2214.04,3
153938865,2016-08,-235.22,2500,291.78,2208.22,5
153938865,2016-09,-361.56,2500,330.57,2169.43,4
153938865,2016-10,-100.53999999999999,2500,68.82,2431.18,3
153938865,2016-11,-297.33,2500,261.46,2238.54,4
153938865,2016-12,-103.44999999999999,2500,63.97,2436.03,3
156440228,2016-01,-402.28,20000,0.0,20000.0,1
156440228,2016-02,-87.3,20000,0.0,20000.0,1
156440228,2016-03,-80.91,20000,0.0,20000.0,1
156440228,2016-04,-829.42,20000,0.0,20000.0,1
156440228,2016-05,-288.27,20000,72.37,19927.63,2
156440228,2016-06,-82.47,20000,21.83,19978.17,2
156440228,2016-07,-21.83,20000,0.0,20000.0,1
156440228,2016-08,-48.45,20000,21.83,19978.17,4
156440228,2016-09,-92.93,20000,71.94,19928.06,4
156440228,2016-10,-21.83,20000,0.0,20000.0,1
156440228,2016-11,-457.05,20000,358.26,19641.74,5
156440228,2016-12,-177.18999999999997,20000,162.37,19837.63,3
161572094,2016-01,-39.01,5000,0.0,5000.0,1
161572094,2016-02,-203.57,5000,69.26,4930.74,2
161572094,2016-03,-394.83,5000,572.78,4427.22,5
161572094,2016-04,-488.4,5000,633.5,4366.5,4
161572094,2016-05,-478.88,5000,1495.94,3504.06,6
161572094,2016-06,-388.18999999999994,5000,1770.03,3229.97,4
161572094,2016-07,-1436.58,5000,2680.72,2319.28,6
161572094,2016-09,-462.79999999999995,5000,3635.79,1364.21,2
161572094,2016-10,-497.07,5000,3971.6,1028.4,3
161572094,2016-11,-482.26,5000,4498.22,501.78,5
161572094,2016-12,-318.89,5000,2861.82,2138.18,3
162576842,2016-01,-13.82,2500,8.82,2491.18,2
162576842,2016-02,-55.12,2500,46.3,2453.7,2
162576842,2016-03,-8.82,2500,0.0,2500.0,1
162576842,2016-04,-62.54,2500,53.72,2446.28,3
162576842,2016-05,-62.54,2500,53.72,2446.28,3
162576842,2016-06,-255.32000000000002,2500,228.65,2271.35,5
162576842,2016-07,-62.11,2500,53.29,2446.71,3
162576842,2016-08,-65.39,2500,56.57,2443.43,3
162576842,2016-09,-134.51,2500,125.69,2374.31,4
162576842,2016-10,-62.69,2500,53.87,2446.13,3
162576842,2016-11,-90.72,2500,63.86,2436.14,4
162576842,2016-12,-119.0,2500,110.18,2389.82,4
163665227,2016-01,-85.33,5000,0.0,5000.0,1
163665227,2016-05,-68.28999999999999,5000,37.25,4962.75,2
163665227,2016-09,-12.24,5000,0.0,5000.0,1
163665227,2016-10,-10.31,5000,0.0,5000.0,1
163665227,2016-12,-72.55000000000001,5000,42.63,4957.37,3
164748878,2016-01,-135.89,15000,115.65,14884.35,3
164748878,2016-02,-100.67,15000,0.0,15000.0,1
164748878,2016-05,-104.96,15000,0.0,15000.0,1
164748878,2016-06,-463.57000000000005,15000,299.72,14700.28,2
164748878,2016-07,-108.27,15000,0.0,15000.0,1
164748878,2016-08,-129.36,15000,0.0,15000.0,1
164748878,2016-11,-88.31,15000,0.0,15000.0,1
164748878,2016-12,-243.59,15000,232.33,14767.67,2
167990744,2016-01,-1417.3899999999999,7500,1341.92,6158.08,3
167990744,2016-04,-35.16,7500,1392.39,6107.61,1
167990744,2016-05,-48.85,7500,1402.55,6097.45,1
167990744,2016-06,-439.16,7500,1555.76,5944.24,2
167990744,2016-07,-281.89,7500,2064.81,5435.19,3
167990744,2016-08,-277.77,7500,2206.85,5293.15,2
167990744,2016-10,-261.84999999999997,7500,2610.42,4889.58,4
167990744,2016-11,-936.64,7500,3514.87,3985.13,3
167990744,2016-12,-558.37,7500,3508.37,3991.63,2
168495791,2016-03,-11.05,2500,0.0,2500.0,1
168495791,2016-04,-11.05,2500,0.0,2500.0,1
168495791,2016-05,-348.83,2500,337.78,2162.22,2
168495791,2016-06,-85.97,2500,398.75,2101.25,2
168495791,2016-07,-11.05,2500,384.8,2115.2,1
168495791,2016-08,-11.05,2500,370.85,2129.15,1
168495791,2016-09,-11.05,2500,356.9,2143.1,1
168495791,2016-10,-11.05,2500,342.95,2157.05,1
168495791,2016-11,-288.01,2500,340.05,2159.95,2
168495791,2016-12,-11.05,2500,592.01,1907.99,1
176035901,2016-01,-795.4300000000001,5000,289.33,4710.67,4
176035901,2016-02,-319.72,5000,972.06,4027.94,3
176035901,2016-03,-505.3,5000,1209.97,3790.03,3
176035901,2016-04,-722.84,5000,2253.3,2746.7,6
176035901,2016-05,-384.09,5000,2243.29,2756.71,1
176035901,2016-06,-316.0,5000,2678.96,2321.04,2
176035901,2016-07,-342.43,5000,2969.64,2030.36,3
176035901,2016-08,-314.68,5000,3439.25,1560.75,3
176035901,2016-09,-821.5699999999999,5000,4263.92,736.08,8
176035901,2016-10,-523.64,5000,4512.17,487.83,4
176035901,2016-11,-343.25,5000,4433.25,566.75,5
176035901,2016-12,-738.33,5000,1530.49,3469.51,7
181444933,2016-06,-60.75,5000,0.0,5000.0,1
181444933,2016-07,-131.16,5000,67.57,4932.43,3
181444933,2016-08,-139.33,5000,135.35,4864.65,3
181444933,2016-09,-138.75,5000,130.86,4869.14,4
181444933,2016-10,-224.3,5000,160.71,4839.29,5
181444933,2016-11,-146.5,5000,76.88,4923.12,4
181444933,2016-12,-139.05,5000,131.16,4868.84,4
181831477,2016-02,-10.68,20000,0.0,20000.0,1
181831477,2016-03,-10.68,20000,37.09,19962.91,3
181831477,2016-04,-292.33,20000,109.04,19890.96,4
181831477,2016-05,-344.53,20000,560.65,19439.35,5
181831477,2016-06,-112.6,20000,641.89,19358.11,3
181831477,2016-07,-116.22,20000,741.71,19258.29,3
181831477,2016-08,-278.76,20000,878.94,19121.06,5
181831477,2016-09,-112.06,20000,1120.82,18879.18,4
181831477,2016-10,-158.35,20000,1211.81,18788.19,5
181831477,2016-11,-105.31,20000,1300.81,18699.19,4
181831477,2016-12,-116.09,20000,1390.98,18609.02,4
182600659,2016-01,-47.84,5000,0.0,5000.0,1
182600659,2016-02,-336.43,5000,22.84,4977.16,1
182600659,2016-10,-502.98,5000,334.27,4665.73,1
182600659,2016-11,-407.2,5000,834.11,4165.89,3
182600659,2016-12,-78.56,5000,1216.31,3783.69,3
186048580,2016-01,-882.41,10000,814.4,9185.6,10
186048580,2016-02,-1342.5500000000002,10000,1131.65,8868.35,8
186048580,2016-03,-2287.57,10000,2260.97,7739.03,13
186048580,2016-04,-1716.28,10000,1740.95,8259.05,15
186048580,2016-05,-1754.79,10000,2109.4,7890.6,15
186048580,2016-06,-2948.63,10000,2765.05,7234.95,18
186048580,2016-07,-1247.13,10000,1225.4,8774.6,8
186048580,2016-08,-1278.94,10000,1256.03,8743.97,12
186048580,2016-09,-1325.51,10000,1279.7,8720.3,12
186048580,2016-10,-1283.46,10000,1479.78,8520.22,18
186048580,2016-11,-700.04,10000,380.56,9619.44,10
186048580,2016-12,-1819.77,10000,1748.45,8251.55,16
187007398,2016-05,-451.15,5000,196.52,4803.48,2
187007398,2016-11,-8.13,5000,0.0,5000.0,1
187912273,2016-01,-7339.28,2500,1504.32,995.68,45
187912273,2016-02,-10624.73,2500,2083.43,416.57,62
187912273,2016-03,-8360.49,2500,2202.74,297.26,51
